Cohort,Cohort_n,Unit,Feature,Genes_used,ZP3_Spearman_rho,ZP3_Spearman_p,Analysis,Pooled_CI_low,Pooled_CI_high,Q,I2
GSE77530_MDAnderson,32,RPKM,M2_Macrophage,10,-0.0528,7.742e-01,per_cohort,,,,
GSE77530_MDAnderson,32,RPKM,T_cell_exhaustion,10,-0.1103,5.477e-01,per_cohort,,,,
GSE77530_MDAnderson,32,RPKM,Cytolytic_activity,4,0.0282,8.781e-01,per_cohort,,,,
GSE77530_MDAnderson,32,RPKM,Treg,6,0.0073,9.682e-01,per_cohort,,,,
GSE77530_MDAnderson,32,RPKM,IFN_gamma,8,0.0671,7.153e-01,per_cohort,,,,
GSE77530_MDAnderson,32,RPKM,Checkpoint,7,-0.0609,7.408e-01,per_cohort,,,,
GSE77530_MDAnderson,32,RPKM,Myeloid,8,-0.1397,4.458e-01,per_cohort,,,,
GSE113474_NYU,24,norm_counts,M2_Macrophage,10,-0.0635,7.682e-01,per_cohort,,,,
GSE113474_NYU,24,norm_counts,T_cell_exhaustion,10,-0.167,4.355e-01,per_cohort,,,,
GSE113474_NYU,24,norm_counts,Cytolytic_activity,4,0.0304,8.877e-01,per_cohort,,,,
GSE113474_NYU,24,norm_counts,Treg,6,0.0948,6.595e-01,per_cohort,,,,
GSE113474_NYU,24,norm_counts,IFN_gamma,8,-0.16,4.552e-01,per_cohort,,,,
GSE113474_NYU,24,norm_counts,Checkpoint,7,-0.1791,4.023e-01,per_cohort,,,,
GSE113474_NYU,24,norm_counts,Myeloid,8,-0.0443,8.370e-01,per_cohort,,,,
POOLED_fisher_z,56,-,M2_Macrophage,,-0.0573,9.543e-01,pooled,-0.3226,0.2164,0.0,0.0
POOLED_fisher_z,56,-,T_cell_exhaustion,,-0.1342,8.926e-01,pooled,-0.3904,0.1412,0.04,0.0
POOLED_fisher_z,56,-,Cytolytic_activity,,0.0292,9.767e-01,pooled,-0.2431,0.2971,0.0,0.0
POOLED_fisher_z,56,-,Treg,,0.0442,9.648e-01,pooled,-0.2289,0.3107,0.09,0.0
POOLED_fisher_z,56,-,IFN_gamma,,-0.0288,9.770e-01,pooled,-0.2968,0.2434,0.64,0.0
POOLED_fisher_z,56,-,Checkpoint,,-0.1109,9.113e-01,pooled,-0.3701,0.1643,0.18,0.0
POOLED_fisher_z,56,-,Myeloid,,-0.0998,9.202e-01,pooled,-0.3604,0.1752,0.11,0.0
