Left_out_cancer,Score,K_cancers,Pooled_rho,CI_low,CI_high,Q,I2,CI_crosses_zero
NONE(all),M2_Macrophage,32,0.1366,0.1163,0.1567,0.69,0.0,NO
NONE(all),T_cell_exhaustion,32,0.054,0.0334,0.0744,0.4,0.0,NO
NONE(all),Cytolytic_activity,32,-0.0023,-0.0229,0.0182,0.2,0.0,YES
NONE(all),Treg,32,0.0525,0.032,0.073,0.38,0.0,NO
NONE(all),IFN_gamma,32,0.0854,0.065,0.1058,0.53,0.0,NO
NONE(all),Checkpoint,32,0.059,0.0385,0.0794,0.47,0.0,NO
NONE(all),Myeloid,32,0.1099,0.0895,0.1301,0.64,0.0,NO
ACC,M2_Macrophage,31,0.1366,0.1163,0.1568,0.69,0.0,NO
ACC,T_cell_exhaustion,31,0.0542,0.0336,0.0748,0.4,0.0,NO
ACC,Cytolytic_activity,31,-0.0018,-0.0224,0.0189,0.19,0.0,YES
ACC,Treg,31,0.0528,0.0322,0.0734,0.38,0.0,NO
ACC,IFN_gamma,31,0.0861,0.0656,0.1066,0.52,0.0,NO
ACC,Checkpoint,31,0.0591,0.0386,0.0797,0.47,0.0,NO
ACC,Myeloid,31,0.111,0.0906,0.1313,0.62,0.0,NO
BLCA,M2_Macrophage,31,0.1425,0.1218,0.163,0.67,0.0,NO
BLCA,T_cell_exhaustion,31,0.056,0.035,0.077,0.39,0.0,NO
BLCA,Cytolytic_activity,31,-0.0011,-0.0222,0.0199,0.2,0.0,YES
BLCA,Treg,31,0.0548,0.0338,0.0757,0.37,0.0,NO
BLCA,IFN_gamma,31,0.0865,0.0656,0.1074,0.53,0.0,NO
BLCA,Checkpoint,31,0.0617,0.0407,0.0826,0.46,0.0,NO
BLCA,Myeloid,31,0.1125,0.0917,0.1332,0.63,0.0,NO
BRCA,M2_Macrophage,31,0.1385,0.1169,0.1599,0.69,0.0,NO
BRCA,T_cell_exhaustion,31,0.0547,0.0329,0.0765,0.4,0.0,NO
BRCA,Cytolytic_activity,31,-0.0028,-0.0248,0.0191,0.2,0.0,YES
BRCA,Treg,31,0.0501,0.0283,0.072,0.38,0.0,NO
BRCA,IFN_gamma,31,0.0877,0.0659,0.1093,0.53,0.0,NO
BRCA,Checkpoint,31,0.0598,0.038,0.0816,0.47,0.0,NO
BRCA,Myeloid,31,0.1113,0.0896,0.1329,0.64,0.0,NO
CESC,M2_Macrophage,31,0.1382,0.1177,0.1587,0.69,0.0,NO
CESC,T_cell_exhaustion,31,0.0576,0.0367,0.0784,0.38,0.0,NO
CESC,Cytolytic_activity,31,0.0002,-0.0207,0.0211,0.19,0.0,YES
CESC,Treg,31,0.0545,0.0337,0.0754,0.37,0.0,NO
CESC,IFN_gamma,31,0.0879,0.0671,0.1086,0.52,0.0,NO
CESC,Checkpoint,31,0.0627,0.0418,0.0835,0.45,0.0,NO
CESC,Myeloid,31,0.1123,0.0916,0.1329,0.63,0.0,NO
CHOL,M2_Macrophage,31,0.136,0.1157,0.1562,0.67,0.0,NO
CHOL,T_cell_exhaustion,31,0.054,0.0335,0.0746,0.4,0.0,NO
CHOL,Cytolytic_activity,31,-0.002,-0.0226,0.0186,0.19,0.0,YES
CHOL,Treg,31,0.0526,0.0321,0.0732,0.38,0.0,NO
CHOL,IFN_gamma,31,0.0853,0.0648,0.1057,0.53,0.0,NO
CHOL,Checkpoint,31,0.0594,0.0389,0.0799,0.45,0.0,NO
CHOL,Myeloid,31,0.1094,0.089,0.1297,0.62,0.0,NO
COAD,M2_Macrophage,31,0.1366,0.1161,0.1571,0.69,0.0,NO
COAD,T_cell_exhaustion,31,0.0534,0.0325,0.0742,0.4,0.0,NO
COAD,Cytolytic_activity,31,-0.0034,-0.0242,0.0175,0.2,0.0,YES
COAD,Treg,31,0.0513,0.0305,0.0721,0.38,0.0,NO
COAD,IFN_gamma,31,0.0863,0.0655,0.107,0.53,0.0,NO
COAD,Checkpoint,31,0.0587,0.0379,0.0795,0.47,0.0,NO
COAD,Myeloid,31,0.1089,0.0882,0.1295,0.64,0.0,NO
DLBC,M2_Macrophage,31,0.1358,0.1155,0.156,0.66,0.0,NO
DLBC,T_cell_exhaustion,31,0.0527,0.0321,0.0732,0.33,0.0,NO
DLBC,Cytolytic_activity,31,-0.0031,-0.0237,0.0175,0.17,0.0,YES
DLBC,Treg,31,0.0509,0.0303,0.0714,0.27,0.0,NO
DLBC,IFN_gamma,31,0.0847,0.0642,0.1051,0.51,0.0,NO
DLBC,Checkpoint,31,0.0575,0.037,0.078,0.38,0.0,NO
DLBC,Myeloid,31,0.1098,0.0894,0.1301,0.64,0.0,NO
ESCA,M2_Macrophage,31,0.1398,0.1194,0.1601,0.66,0.0,NO
ESCA,T_cell_exhaustion,31,0.0545,0.0338,0.0752,0.4,0.0,NO
ESCA,Cytolytic_activity,31,-0.0017,-0.0224,0.0191,0.2,0.0,YES
ESCA,Treg,31,0.0519,0.0312,0.0726,0.38,0.0,NO
ESCA,IFN_gamma,31,0.0866,0.066,0.1072,0.53,0.0,NO
ESCA,Checkpoint,31,0.0597,0.039,0.0804,0.47,0.0,NO
ESCA,Myeloid,31,0.1127,0.0922,0.1332,0.62,0.0,NO
GBM,M2_Macrophage,31,0.1363,0.1159,0.1566,0.69,0.0,NO
GBM,T_cell_exhaustion,31,0.0514,0.0307,0.0721,0.38,0.0,NO
GBM,Cytolytic_activity,31,-0.0049,-0.0257,0.0158,0.17,0.0,YES
GBM,Treg,31,0.0498,0.0291,0.0705,0.35,0.0,NO
GBM,IFN_gamma,31,0.0857,0.0651,0.1063,0.53,0.0,NO
