Model,Transcript,Tx_Label,Feature,N,N_cancer,Coef,SE,Z,P,CI_low,CI_high,ICC,FDR
unadjusted,ENST00000336517.8,FL canonical,M2_Macrophage,9186,32,0.2822,0.0229,12.306,8.443503108809312e-35,0.2372,0.3271,0.3567,1.1820904352333037e-33
unadjusted,ENST00000336517.8,FL canonical,T_cell_exhaustion,9186,32,0.1056,0.0244,4.332,1.4793620267982981e-05,0.0578,0.1534,0.4578,1.7259223645980145e-05
unadjusted,ENST00000336517.8,FL canonical,Cytolytic_activity,9186,32,-0.0159,0.0286,-0.556,0.5784622795385916,-0.0721,0.0402,0.4478,0.5784622795385916
unadjusted,ENST00000336517.8,FL canonical,Treg,9186,32,0.1178,0.0245,4.817,1.4543204876756548e-06,0.0699,0.1658,0.5426,2.0360486827459165e-06
unadjusted,ENST00000336517.8,FL canonical,IFN_gamma,9186,32,0.1964,0.0269,7.3,2.870336761099073e-13,0.1437,0.2492,0.4133,7.328077926988314e-13
unadjusted,ENST00000336517.8,FL canonical,Checkpoint,9186,32,0.1173,0.0254,4.616,3.907780479037203e-06,0.0675,0.1671,0.4654,4.973538791501895e-06
unadjusted,ENST00000336517.8,FL canonical,Myeloid,9186,32,0.2167,0.0241,9.002,2.223163272392812e-19,0.1695,0.2639,0.3853,7.781071453374842e-19
unadjusted,ENST00000466960.5,Retained-intron,M2_Macrophage,9186,32,-0.2173,0.0223,-9.762,1.6416156813857076e-22,-0.2609,-0.1737,0.3463,7.660873179799969e-22
unadjusted,ENST00000466960.5,Retained-intron,T_cell_exhaustion,9186,32,-0.1258,0.0236,-5.333,9.63699830120639e-08,-0.172,-0.0796,0.4518,1.4990886246321053e-07
unadjusted,ENST00000466960.5,Retained-intron,Cytolytic_activity,9186,32,-0.0535,0.0277,-1.93,0.05365860563581885,-0.1078,0.0008,0.4461,0.057786190684727984
unadjusted,ENST00000466960.5,Retained-intron,Treg,9186,32,-0.1334,0.0237,-5.634,1.7560581232887745e-08,-0.1798,-0.087,0.5376,3.512116246577549e-08
unadjusted,ENST00000466960.5,Retained-intron,IFN_gamma,9186,32,-0.1899,0.0261,-7.288,3.1406048258521345e-13,-0.241,-0.1388,0.4044,7.328077926988314e-13
unadjusted,ENST00000466960.5,Retained-intron,Checkpoint,9186,32,-0.1354,0.0246,-5.509,3.617499468240167e-08,-0.1836,-0.0872,0.4601,6.330624069420292e-08
unadjusted,ENST00000466960.5,Retained-intron,Myeloid,9186,32,-0.2294,0.0233,-9.853,6.624419312401607e-23,-0.275,-0.1838,0.3754,4.637093518681125e-22
adjusted_ZP3_total,ENST00000336517.8,FL canonical,M2_Macrophage,9186,32,0.2383,0.0237,10.062,8.142131122087842e-24,0.1919,0.2847,0.3535,1.1398983570922979e-22
adjusted_ZP3_total,ENST00000336517.8,FL canonical,T_cell_exhaustion,9186,32,0.0717,0.0252,2.845,0.004436730355996326,0.0223,0.1212,0.4594,0.005176185415329047
adjusted_ZP3_total,ENST00000336517.8,FL canonical,Cytolytic_activity,9186,32,-0.0485,0.0296,-1.636,0.10184984837283458,-0.1066,0.0096,0.4502,0.10968445209382184
adjusted_ZP3_total,ENST00000336517.8,FL canonical,Treg,9186,32,0.0919,0.0253,3.63,0.00028365119418101534,0.0423,0.1415,0.5458,0.0004412351909482461
adjusted_ZP3_total,ENST00000336517.8,FL canonical,IFN_gamma,9186,32,0.162,0.0278,5.819,5.933655078045193e-09,0.1074,0.2166,0.418,1.661423421852654e-08
adjusted_ZP3_total,ENST00000336517.8,FL canonical,Checkpoint,9186,32,0.0866,0.0263,3.294,0.0009880600997024319,0.0351,0.1381,0.4662,0.001351291521246409
adjusted_ZP3_total,ENST00000336517.8,FL canonical,Myeloid,9186,32,0.2085,0.0249,8.363,6.114696628368289e-17,0.1596,0.2574,0.385,2.853525093238535e-16
adjusted_ZP3_total,ENST00000466960.5,Retained-intron,M2_Macrophage,9186,32,-0.1552,0.024,-6.472,9.691661377576329e-11,-0.2022,-0.1082,0.3444,3.392081482151715e-10
adjusted_ZP3_total,ENST00000466960.5,Retained-intron,T_cell_exhaustion,9186,32,-0.0833,0.0255,-3.274,0.0010617290524078929,-0.1332,-0.0334,0.4556,0.001351291521246409
adjusted_ZP3_total,ENST00000466960.5,Retained-intron,Cytolytic_activity,9186,32,-0.0144,0.0299,-0.482,0.6297850486785417,-0.0731,0.0442,0.4495,0.6297850486785416
adjusted_ZP3_total,ENST00000466960.5,Retained-intron,Treg,9186,32,-0.1029,0.0256,-4.026,5.6731291950567775e-05,-0.153,-0.0528,0.5414,0.00011346258390113556
adjusted_ZP3_total,ENST00000466960.5,Retained-intron,IFN_gamma,9186,32,-0.1471,0.0281,-5.229,1.7080708721734635e-07,-0.2022,-0.0919,0.4105,3.9854987017380813e-07
adjusted_ZP3_total,ENST00000466960.5,Retained-intron,Checkpoint,9186,32,-0.0981,0.0265,-3.696,0.00021868250235562326,-0.1501,-0.0461,0.4621,0.0003826943791223407
adjusted_ZP3_total,ENST00000466960.5,Retained-intron,Myeloid,9186,32,-0.231,0.0251,-9.188,4.019767200585531e-20,-0.2803,-0.1818,0.3754,2.8138370404098715e-19
