Score,Cancer,N,Spearman_rho,Spearman_p,Fisher_z,Weight,Q,I2
M2_Macrophage,GBM,153,0.1499,6.442e-02,0.151,150,,
M2_Macrophage,LGG,509,0.3384,4.195e-15,0.3523,506,,
M2_Macrophage,UCEC,180,0.2012,6.762e-03,0.204,177,,
M2_Macrophage,BRCA,1092,0.1223,5.048e-05,0.123,1089,,
M2_Macrophage,CESC,304,0.0871,1.298e-01,0.0873,301,,
M2_Macrophage,LUAD,513,0.0167,7.056e-01,0.0167,510,,
M2_Macrophage,ESCA,181,-0.027,7.182e-01,-0.027,178,,
M2_Macrophage,SARC,258,-0.0247,6.933e-01,-0.0247,255,,
M2_Macrophage,KIRP,288,0.1433,1.490e-02,0.1443,285,,
M2_Macrophage,COAD,288,0.1347,2.226e-02,0.1355,285,,
M2_Macrophage,PRAD,495,0.2088,2.803e-06,0.2119,492,,
M2_Macrophage,STAD,414,-0.0109,8.251e-01,-0.0109,411,,
M2_Macrophage,HNSC,518,0.1847,2.342e-05,0.1868,515,,
M2_Macrophage,KIRC,530,0.2739,1.428e-10,0.281,527,,
M2_Macrophage,LUSC,498,0.0173,6.996e-01,0.0173,495,,
M2_Macrophage,THYM,119,0.5193,1.444e-09,0.5753,116,,
M2_Macrophage,LIHC,369,0.238,3.770e-06,0.2427,366,,
M2_Macrophage,SKCM,102,0.2703,6.012e-03,0.2771,99,,
M2_Macrophage,BLCA,407,0.0069,8.890e-01,0.0069,404,,
M2_Macrophage,THCA,504,0.1243,5.182e-03,0.125,501,,
M2_Macrophage,MESO,87,0.0539,6.202e-01,0.0539,84,,
M2_Macrophage,READ,92,0.0714,4.986e-01,0.0716,89,,
M2_Macrophage,OV,420,0.1042,3.271e-02,0.1046,417,,
M2_Macrophage,UVM,79,-0.0509,6.563e-01,-0.0509,76,,
M2_Macrophage,PAAD,178,0.0019,9.802e-01,0.0019,175,,
M2_Macrophage,TGCT,148,0.0436,5.984e-01,0.0437,145,,
M2_Macrophage,UCS,57,0.3286,1.258e-02,0.3412,54,,
M2_Macrophage,PCPG,177,0.3715,3.558e-07,0.3902,174,,
M2_Macrophage,ACC,77,0.1361,2.380e-01,0.1369,74,,
M2_Macrophage,DLBC,47,0.2912,4.707e-02,0.2998,44,,
M2_Macrophage,KICH,66,-0.0467,7.094e-01,-0.0468,63,,
M2_Macrophage,CHOL,36,0.2844,9.271e-02,0.2925,33,,
M2_Macrophage,POOLED_fixed_effect,9186,0.1366,8.907e-01,0.1374,9090,136.39,0.773
Myeloid,GBM,153,0.1395,8.551e-02,0.1404,150,,
Myeloid,LGG,509,0.3002,4.648e-12,0.3097,506,,
Myeloid,UCEC,180,0.1377,6.524e-02,0.1386,177,,
Myeloid,BRCA,1092,0.0994,1.007e-03,0.0997,1089,,
Myeloid,CESC,304,0.0391,4.966e-01,0.0392,301,,
Myeloid,LUAD,513,0.0726,1.007e-01,0.0727,510,,
Myeloid,ESCA,181,-0.0355,6.349e-01,-0.0355,178,,
Myeloid,SARC,258,-0.0706,2.587e-01,-0.0707,255,,
Myeloid,KIRP,288,0.1937,9.512e-04,0.1962,285,,
Myeloid,COAD,288,0.1388,1.846e-02,0.1397,285,,
Myeloid,PRAD,495,0.1511,7.460e-04,0.1522,492,,
Myeloid,STAD,414,0.0217,6.602e-01,0.0217,411,,
Myeloid,HNSC,518,0.0676,1.245e-01,0.0677,515,,
Myeloid,KIRC,530,0.2559,2.285e-09,0.2617,527,,
Myeloid,LUSC,498,-0.0597,1.836e-01,-0.0598,495,,
Myeloid,THYM,119,0.4118,3.282e-06,0.4377,116,,
Myeloid,LIHC,369,0.1642,1.556e-03,0.1657,366,,
Myeloid,SKCM,102,0.2281,2.112e-02,0.2322,99,,
Myeloid,BLCA,407,0.0529,2.870e-01,0.053,404,,
Myeloid,THCA,504,0.0999,2.494e-02,0.1002,501,,
Myeloid,MESO,87,0.0422,6.976e-01,0.0423,84,,
Myeloid,READ,92,0.0524,6.201e-01,0.0524,89,,
Myeloid,OV,420,0.0935,5.543e-02,0.0938,417,,
Myeloid,UVM,79,-0.1019,3.715e-01,-0.1023,76,,
Myeloid,PAAD,178,0.0335,6.567e-01,0.0336,175,,
Myeloid,TGCT,148,-0.0318,7.013e-01,-0.0318,145,,
Myeloid,UCS,57,0.3282,1.268e-02,0.3408,54,,
Myeloid,PCPG,177,0.4121,1.204e-08,0.4381,174,,
Myeloid,ACC,77,-0.0266,8.183e-01,-0.0266,74,,
Myeloid,DLBC,47,0.131,3.801e-01,0.1318,44,,
Myeloid,KICH,66,-0.134,2.834e-01,-0.1348,63,,
Myeloid,CHOL,36,0.2345,1.686e-01,0.2389,33,,
Myeloid,POOLED_fixed_effect,9186,0.1099,9.122e-01,0.1103,9090,120.59,0.743
