Analysis,Score,Split,K,Pooled_rho,CI_low,CI_high,Q,I2,Train_rho,Val_rho,Same_direction,Val_CI_crosses_zero
BASELINE,score_M2_Macrophage,all_32,32,0.1366,0.1163,0.1567,136.39,0.773,,,,
BASELINE,score_Myeloid,all_32,32,0.1099,0.0895,0.1301,120.59,0.743,,,,
LOCO,score_M2_Macrophage,leave:ACC,31,0.1366,0.1163,0.1568,136.39,0.78,,,,
LOCO,score_Myeloid,leave:ACC,31,0.111,0.0906,0.1313,119.19,0.748,,,,
LOCO,score_M2_Macrophage,leave:BLCA,31,0.1425,0.1218,0.163,129.2,0.768,,,,
LOCO,score_Myeloid,leave:BLCA,31,0.1125,0.0917,0.1332,119.2,0.748,,,,
LOCO,score_M2_Macrophage,leave:BRCA,31,0.1385,0.1169,0.1599,136.14,0.78,,,,
LOCO,score_Myeloid,leave:BRCA,31,0.1113,0.0896,0.1329,120.45,0.751,,,,
LOCO,score_M2_Macrophage,leave:CESC,31,0.1382,0.1177,0.1587,135.61,0.779,,,,
LOCO,score_Myeloid,leave:CESC,31,0.1123,0.0916,0.1329,119.01,0.748,,,,
LOCO,score_M2_Macrophage,leave:CHOL,31,0.136,0.1157,0.1562,135.6,0.779,,,,
LOCO,score_Myeloid,leave:CHOL,31,0.1094,0.089,0.1297,120.04,0.75,,,,
LOCO,score_M2_Macrophage,leave:COAD,31,0.1366,0.1161,0.1571,136.39,0.78,,,,
LOCO,score_Myeloid,leave:COAD,31,0.1089,0.0882,0.1295,120.33,0.751,,,,
LOCO,score_M2_Macrophage,leave:DLBC,31,0.1358,0.1155,0.156,135.23,0.778,,,,
LOCO,score_Myeloid,leave:DLBC,31,0.1098,0.0894,0.1301,120.57,0.751,,,,
LOCO,score_M2_Macrophage,leave:ESCA,31,0.1398,0.1194,0.1601,131.49,0.772,,,,
LOCO,score_Myeloid,leave:ESCA,31,0.1127,0.0922,0.1332,116.72,0.743,,,,
LOCO,score_M2_Macrophage,leave:GBM,31,0.1363,0.1159,0.1566,136.37,0.78,,,,
LOCO,score_Myeloid,leave:GBM,31,0.1094,0.0888,0.1298,120.45,0.751,,,,
LOCO,score_M2_Macrophage,leave:HNSC,31,0.1336,0.1128,0.1544,135.06,0.778,,,,
LOCO,score_Myeloid,leave:HNSC,31,0.1124,0.0915,0.1332,119.59,0.749,,,,
LOCO,score_M2_Macrophage,leave:KICH,31,0.1378,0.1175,0.158,134.24,0.777,,,,
LOCO,score_Myeloid,leave:KICH,31,0.1116,0.0911,0.1319,116.78,0.743,,,,
LOCO,score_M2_Macrophage,leave:KIRC,31,0.1279,0.107,0.1487,124.86,0.76,,,,
LOCO,score_Myeloid,leave:KIRC,31,0.1007,0.0797,0.1216,107.77,0.722,,,,
LOCO,score_M2_Macrophage,leave:KIRP,31,0.1363,0.1158,0.1568,136.38,0.78,,,,
LOCO,score_Myeloid,leave:KIRP,31,0.1071,0.0864,0.1277,118.42,0.747,,,,
LOCO,score_M2_Macrophage,leave:LGG,31,0.1241,0.1032,0.1449,111.65,0.731,,,,
LOCO,score_Myeloid,leave:LGG,31,0.0982,0.0773,0.1191,99.28,0.698,,,,
LOCO,score_M2_Macrophage,leave:LIHC,31,0.1322,0.1116,0.1528,132.17,0.773,,,,
LOCO,score_Myeloid,leave:LIHC,31,0.1076,0.0868,0.1283,119.42,0.749,,,,
LOCO,score_M2_Macrophage,leave:LUAD,31,0.1436,0.1228,0.1643,128.52,0.767,,,,
LOCO,score_Myeloid,leave:LUAD,31,0.1121,0.0911,0.1329,119.82,0.75,,,,
LOCO,score_M2_Macrophage,leave:LUSC,31,0.1433,0.1226,0.164,128.85,0.767,,,,
LOCO,score_Myeloid,leave:LUSC,31,0.1195,0.0986,0.1403,105.44,0.715,,,,
LOCO,score_M2_Macrophage,leave:MESO,31,0.1373,0.117,0.1575,135.8,0.779,,,,
LOCO,score_Myeloid,leave:MESO,31,0.1105,0.0901,0.1309,120.19,0.75,,,,
LOCO,score_M2_Macrophage,leave:OV,31,0.1381,0.1174,0.1587,135.92,0.779,,,,
LOCO,score_Myeloid,leave:OV,31,0.1107,0.0898,0.1314,120.47,0.751,,,,
LOCO,score_M2_Macrophage,leave:PAAD,31,0.1392,0.1188,0.1595,133.12,0.775,,,,
LOCO,score_Myeloid,leave:PAAD,31,0.1114,0.0908,0.1318,119.54,0.749,,,,
LOCO,score_M2_Macrophage,leave:PCPG,31,0.1317,0.1113,0.1521,125.06,0.76,,,,
LOCO,score_Myeloid,leave:PCPG,31,0.1035,0.083,0.124,101.52,0.704,,,,
LOCO,score_M2_Macrophage,leave:PRAD,31,0.1324,0.1116,0.1531,133.51,0.775,,,,
LOCO,score_Myeloid,leave:PRAD,31,0.1075,0.0866,0.1283,119.67,0.749,,,,
LOCO,score_M2_Macrophage,leave:READ,31,0.1372,0.1169,0.1574,136.0,0.779,,,,
LOCO,score_Myeloid,leave:READ,31,0.1104,0.09,0.1308,120.29,0.751,,,,
LOCO,score_M2_Macrophage,leave:SARC,31,0.1411,0.1207,0.1615,129.5,0.768,,,,
LOCO,score_Myeloid,leave:SARC,31,0.115,0.0944,0.1356,111.99,0.732,,,,
LOCO,score_M2_Macrophage,leave:SKCM,31,0.1351,0.1147,0.1553,134.44,0.777,,,,
LOCO,score_Myeloid,leave:SKCM,31,0.1085,0.0881,0.1289,119.1,0.748,,,,
LOCO,score_M2_Macrophage,leave:STAD,31,0.1434,0.1228,0.164,126.93,0.764,,,,
LOCO,score_Myeloid,leave:STAD,31,0.114,0.0932,0.1347,117.2,0.744,,,,
LOCO,score_M2_Macrophage,leave:TGCT,31,0.1381,0.1177,0.1583,135.1,0.778,,,,
LOCO,score_Myeloid,leave:TGCT,31,0.1121,0.0916,0.1326,117.61,0.745,,,,
LOCO,score_M2_Macrophage,leave:THCA,31,0.1373,0.1165,0.158,136.31,0.78,,,,
LOCO,score_Myeloid,leave:THCA,31,0.1105,0.0895,0.1313,120.53,0.751,,,,
LOCO,score_M2_Macrophage,leave:THYM,31,0.131,0.1106,0.1513,113.86,0.737,,,,
LOCO,score_Myeloid,leave:THYM,31,0.1057,0.0852,0.1261,107.99,0.722,,,,
LOCO,score_M2_Macrophage,leave:UCEC,31,0.1353,0.1148,0.1556,135.59,0.779,,,,
LOCO,score_Myeloid,leave:UCEC,31,0.1093,0.0888,0.1298,120.44,0.751,,,,
LOCO,score_M2_Macrophage,leave:UCS,31,0.1354,0.1151,0.1555,134.14,0.776,,,,
LOCO,score_Myeloid,leave:UCS,31,0.1085,0.0881,0.1288,117.7,0.745,,,,
LOCO,score_M2_Macrophage,leave:UVM,31,0.1381,0.1178,0.1583,133.68,0.776,,,,
LOCO,score_Myeloid,leave:UVM,31,0.1116,0.0912,0.132,117.12,0.744,,,,
L2CO,score_M2_Macrophage,leave:ACC+BLCA,30,0.1426,0.1218,0.1632,129.19,0.776,,,,
L2CO,score_Myeloid,leave:ACC+BLCA,30,0.1137,0.0928,0.1345,117.74,0.754,,,,
L2CO,score_M2_Macrophage,leave:ACC+BRCA,30,0.1385,0.1169,0.16,136.13,0.787,,,,
L2CO,score_Myeloid,leave:ACC+BRCA,30,0.1126,0.0908,0.1343,119.02,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+CESC,30,0.1383,0.1176,0.1588,135.61,0.786,,,,
L2CO,score_Myeloid,leave:ACC+CESC,30,0.1134,0.0927,0.1341,117.56,0.753,,,,
L2CO,score_M2_Macrophage,leave:ACC+CHOL,30,0.136,0.1157,0.1562,135.6,0.786,,,,
L2CO,score_Myeloid,leave:ACC+CHOL,30,0.1105,0.09,0.1309,118.65,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+COAD,30,0.1366,0.116,0.1571,136.39,0.787,,,,
L2CO,score_Myeloid,leave:ACC+COAD,30,0.1101,0.0893,0.1307,118.95,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+DLBC,30,0.1358,0.1154,0.156,135.23,0.786,,,,
L2CO,score_Myeloid,leave:ACC+DLBC,30,0.1109,0.0904,0.1313,119.17,0.757,,,,
L2CO,score_M2_Macrophage,leave:ACC+ESCA,30,0.1398,0.1193,0.1602,131.48,0.779,,,,
L2CO,score_Myeloid,leave:ACC+ESCA,30,0.1139,0.0933,0.1344,115.27,0.748,,,,
L2CO,score_M2_Macrophage,leave:ACC+GBM,30,0.1363,0.1159,0.1567,136.37,0.787,,,,
L2CO,score_Myeloid,leave:ACC+GBM,30,0.1105,0.0899,0.131,119.06,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+HNSC,30,0.1336,0.1127,0.1544,135.06,0.785,,,,
L2CO,score_Myeloid,leave:ACC+HNSC,30,0.1136,0.0926,0.1345,118.14,0.755,,,,
L2CO,score_M2_Macrophage,leave:ACC+KICH,30,0.1378,0.1175,0.1581,134.24,0.784,,,,
L2CO,score_Myeloid,leave:ACC+KICH,30,0.1127,0.0922,0.1331,115.34,0.749,,,,
L2CO,score_M2_Macrophage,leave:ACC+KIRC,30,0.1278,0.1068,0.1487,124.85,0.768,,,,
L2CO,score_Myeloid,leave:ACC+KIRC,30,0.1018,0.0807,0.1228,106.56,0.728,,,,
L2CO,score_M2_Macrophage,leave:ACC+KIRP,30,0.1363,0.1157,0.1569,136.38,0.787,,,,
L2CO,score_Myeloid,leave:ACC+KIRP,30,0.1082,0.0875,0.1289,117.07,0.752,,,,
L2CO,score_M2_Macrophage,leave:ACC+LGG,30,0.124,0.103,0.1449,111.64,0.74,,,,
L2CO,score_Myeloid,leave:ACC+LGG,30,0.0993,0.0782,0.1203,98.11,0.704,,,,
L2CO,score_M2_Macrophage,leave:ACC+LIHC,30,0.1322,0.1114,0.1528,132.17,0.781,,,,
L2CO,score_Myeloid,leave:ACC+LIHC,30,0.1087,0.0878,0.1295,118.07,0.754,,,,
L2CO,score_M2_Macrophage,leave:ACC+LUAD,30,0.1437,0.1228,0.1644,128.52,0.774,,,,
L2CO,score_Myeloid,leave:ACC+LUAD,30,0.1133,0.0923,0.1342,118.38,0.755,,,,
L2CO,score_M2_Macrophage,leave:ACC+LUSC,30,0.1434,0.1225,0.1641,128.84,0.775,,,,
L2CO,score_Myeloid,leave:ACC+LUSC,30,0.1208,0.0998,0.1417,103.84,0.721,,,,
L2CO,score_M2_Macrophage,leave:ACC+MESO,30,0.1373,0.1169,0.1576,135.8,0.786,,,,
L2CO,score_Myeloid,leave:ACC+MESO,30,0.1116,0.0911,0.1321,118.78,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+OV,30,0.1381,0.1173,0.1588,135.92,0.787,,,,
L2CO,score_Myeloid,leave:ACC+OV,30,0.1118,0.0909,0.1326,119.05,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+PAAD,30,0.1392,0.1187,0.1596,133.11,0.782,,,,
L2CO,score_Myeloid,leave:ACC+PAAD,30,0.1125,0.0919,0.133,118.11,0.754,,,,
L2CO,score_M2_Macrophage,leave:ACC+PCPG,30,0.1317,0.1111,0.1521,125.06,0.768,,,,
L2CO,score_Myeloid,leave:ACC+PCPG,30,0.1046,0.084,0.1252,100.25,0.711,,,,
L2CO,score_M2_Macrophage,leave:ACC+PRAD,30,0.1323,0.1114,0.1531,133.51,0.783,,,,
L2CO,score_Myeloid,leave:ACC+PRAD,30,0.1087,0.0876,0.1296,118.32,0.755,,,,
L2CO,score_M2_Macrophage,leave:ACC+READ,30,0.1372,0.1168,0.1575,136.0,0.787,,,,
L2CO,score_Myeloid,leave:ACC+READ,30,0.1116,0.091,0.132,118.88,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+SARC,30,0.1412,0.1206,0.1617,129.5,0.776,,,,
L2CO,score_Myeloid,leave:ACC+SARC,30,0.1162,0.0955,0.1368,110.48,0.738,,,,
L2CO,score_M2_Macrophage,leave:ACC+SKCM,30,0.135,0.1146,0.1554,134.44,0.784,,,,
L2CO,score_Myeloid,leave:ACC+SKCM,30,0.1097,0.0891,0.1301,117.73,0.754,,,,
L2CO,score_M2_Macrophage,leave:ACC+STAD,30,0.1435,0.1228,0.1641,126.92,0.772,,,,
L2CO,score_Myeloid,leave:ACC+STAD,30,0.1152,0.0943,0.136,115.72,0.749,,,,
L2CO,score_M2_Macrophage,leave:ACC+TGCT,30,0.1381,0.1176,0.1584,135.1,0.785,,,,
L2CO,score_Myeloid,leave:ACC+TGCT,30,0.1133,0.0927,0.1338,116.16,0.75,,,,
L2CO,score_M2_Macrophage,leave:ACC+THCA,30,0.1373,0.1164,0.1581,136.31,0.787,,,,
L2CO,score_Myeloid,leave:ACC+THCA,30,0.1116,0.0906,0.1326,119.12,0.757,,,,
L2CO,score_M2_Macrophage,leave:ACC+THYM,30,0.131,0.1105,0.1513,113.86,0.745,,,,
L2CO,score_Myeloid,leave:ACC+THYM,30,0.1068,0.0862,0.1273,106.68,0.728,,,,
L2CO,score_M2_Macrophage,leave:ACC+UCEC,30,0.1353,0.1147,0.1557,135.59,0.786,,,,
L2CO,score_Myeloid,leave:ACC+UCEC,30,0.1104,0.0898,0.131,119.06,0.756,,,,
L2CO,score_M2_Macrophage,leave:ACC+UCS,30,0.1354,0.115,0.1556,134.14,0.784,,,,
L2CO,score_Myeloid,leave:ACC+UCS,30,0.1096,0.0891,0.13,116.33,0.751,,,,
L2CO,score_M2_Macrophage,leave:ACC+UVM,30,0.1381,0.1177,0.1584,133.68,0.783,,,,
L2CO,score_Myeloid,leave:ACC+UVM,30,0.1128,0.0923,0.1332,115.69,0.749,,,,
L2CO,score_M2_Macrophage,leave:BLCA+BRCA,30,0.1454,0.1233,0.1673,128.67,0.775,,,,
L2CO,score_Myeloid,leave:BLCA+BRCA,30,0.1144,0.0921,0.1365,118.98,0.756,,,,
L2CO,score_M2_Macrophage,leave:BLCA+CESC,30,0.1445,0.1235,0.1654,128.21,0.774,,,,
L2CO,score_Myeloid,leave:BLCA+CESC,30,0.1151,0.094,0.1362,117.5,0.753,,,,
L2CO,score_M2_Macrophage,leave:BLCA+CHOL,30,0.142,0.1212,0.1625,128.46,0.774,,,,
L2CO,score_Myeloid,leave:BLCA+CHOL,30,0.112,0.0912,0.1328,118.67,0.756,,,,
L2CO,score_M2_Macrophage,leave:BLCA+COAD,30,0.1428,0.1218,0.1637,129.18,0.776,,,,
L2CO,score_Myeloid,leave:BLCA+COAD,30,0.1116,0.0904,0.1327,118.99,0.756,,,,
L2CO,score_M2_Macrophage,leave:BLCA+DLBC,30,0.1417,0.121,0.1623,128.11,0.774,,,,
L2CO,score_Myeloid,leave:BLCA+DLBC,30,0.1124,0.0915,0.1332,119.18,0.757,,,,
L2CO,score_M2_Macrophage,leave:BLCA+ESCA,30,0.146,0.1251,0.1667,123.91,0.766,,,,
L2CO,score_Myeloid,leave:BLCA+ESCA,30,0.1156,0.0946,0.1365,115.19,0.748,,,,
L2CO,score_M2_Macrophage,leave:BLCA+GBM,30,0.1424,0.1215,0.1631,129.19,0.776,,,,
L2CO,score_Myeloid,leave:BLCA+GBM,30,0.112,0.091,0.1329,119.08,0.756,,,,
L2CO,score_M2_Macrophage,leave:BLCA+HNSC,30,0.1398,0.1185,0.161,128.17,0.774,,,,
L2CO,score_Myeloid,leave:BLCA+HNSC,30,0.1153,0.0939,0.1367,118.07,0.754,,,,
L2CO,score_M2_Macrophage,leave:BLCA+KICH,30,0.1439,0.1231,0.1645,126.9,0.771,,,,
L2CO,score_Myeloid,leave:BLCA+KICH,30,0.1143,0.0934,0.1351,115.3,0.748,,,,
L2CO,score_M2_Macrophage,leave:BLCA+KIRC,30,0.1338,0.1124,0.155,118.58,0.755,,,,
L2CO,score_Myeloid,leave:BLCA+KIRC,30,0.103,0.0815,0.1244,106.79,0.728,,,,
L2CO,score_M2_Macrophage,leave:BLCA+KIRP,30,0.1425,0.1215,0.1634,129.2,0.776,,,,
L2CO,score_Myeloid,leave:BLCA+KIRP,30,0.1097,0.0885,0.1308,117.16,0.752,,,,
L2CO,score_M2_Macrophage,leave:BLCA+LGG,30,0.1298,0.1085,0.1511,105.77,0.726,,,,
L2CO,score_Myeloid,leave:BLCA+LGG,30,0.1005,0.079,0.1219,98.4,0.705,,,,
L2CO,score_M2_Macrophage,leave:BLCA+LIHC,30,0.1382,0.1171,0.1592,125.44,0.769,,,,
L2CO,score_Myeloid,leave:BLCA+LIHC,30,0.1102,0.0889,0.1314,118.14,0.755,,,,
L2CO,score_M2_Macrophage,leave:BLCA+LUAD,30,0.1502,0.129,0.1714,120.49,0.759,,,,
L2CO,score_Myeloid,leave:BLCA+LUAD,30,0.115,0.0935,0.1363,118.32,0.755,,,,
L2CO,score_M2_Macrophage,leave:BLCA+LUSC,30,0.15,0.1287,0.1711,120.84,0.76,,,,
