sample,ZP3_log2_TPM
GTEX-S4Q7-0003-SM-3NM8M,0.3796
GTEX-QV31-1626-SM-2S1QC,-1.6394
GTEX-13QIC-0011-R1a-SM-5O9CJ,1.6695
GTEX-ZPCL-0126-SM-4WWC8,1.0779
GTEX-S33H-1226-SM-4AD69,1.2576
GTEX-X88G-0426-SM-47JZ5,2.9205
GTEX-ZAKK-0326-SM-5EGHA,1.3397
GTEX-1399S-1726-SM-5L3DI,-0.5543
GTEX-ZF29-0926-SM-4WKFZ,0.7999
GTEX-13W3W-2626-SM-5SIA2,3.0358
GTEX-WQUQ-2526-SM-4MVNO,2.0111
GTEX-P44H-0526-SM-2XCF1,1.3901
GTEX-11ONC-2326-SM-5HL6P,1.9638
GTEX-TSE9-0126-SM-3DB83,2.727
GTEX-R55F-0226-SM-48FCI,2.3926
GTEX-13O3P-0226-SM-5KM3Z,0.1388
GTEX-VJYA-0005-SM-3P5ZD,-0.5332
GTEX-PWCY-1326-SM-48TCU,5.2138
GTEX-POMQ-0006-SM-5SI7D,-1.1811
GTEX-Y9LG-0426-SM-4VBRT,0.8408
GTEX-147F4-1226-SM-5NQAY,-4.6082
GTEX-QXCU-0626-SM-2TC69,-0.1031
GTEX-1269C-2626-SM-5EQ5C,-0.4719
GTEX-12WSK-2326-SM-5GCOH,1.6649
GTEX-P4PQ-0126-SM-2S1NM,1.5661
GTEX-ZA64-1526-SM-5CVMD,3.1062
GTEX-1122O-0426-SM-5H12G,-0.1504
GTEX-1399Q-0005-SM-5NQAG,2.0844
GTEX-11EI6-0826-SM-5985V,1.3511
GTEX-11EI6-3126-SM-5H111,2.3508
GTEX-QV44-1726-SM-4R1KG,3.3464
GTEX-14E7W-0526-SM-5S2W8,0.2881
GTEX-S341-0326-SM-2XCAU,2.2723
GTEX-N7MS-2625-SM-3LK77,1.2516
GTEX-OHPJ-0926-SM-2HMJ1,-1.1172
GTEX-13O61-0326-SM-5KM2O,-1.7322
GTEX-REY6-0126-SM-48FDT,3.4197
GTEX-13PL7-2726-SM-5L3GB,1.3283
GTEX-QV44-0526-SM-2S1RE,-0.1345
GTEX-WY7C-0426-SM-3NB3C,1.5465
GTEX-ZPCL-0004-SM-4WWD6,1.4441
GTEX-X5EB-0326-SM-4QASF,0.4865
GTEX-11DXY-1526-SM-5H129,1.3225
GTEX-ZPIC-0005-SM-4WWEB,-0.2328
GTEX-13G51-2126-SM-5IJD9,0.8805
GTEX-Y5V6-2826-SM-4VDSF,2.8799
GTEX-Y111-1826-SM-4SOIR,0.517
GTEX-TMZS-0001-SM-3P61Q,0.6239
GTEX-11XUK-1426-SM-5EQMG,2.7051
GTEX-WOFM-0526-SM-4OOS2,1.7532
GTEX-N7MS-2526-SM-26GMA,0.058
GTEX-WHPG-0226-SM-3NMB9,0.24
GTEX-13FTZ-2226-SM-5LZXI,-9.9658
GTEX-14AS3-1326-SM-5RQJE,1.5064
