sample,ZP3_log2_TPM
GTEX-13QIC-0011-R1a-SM-5O9CJ,1.6695
GTEX-N7MS-2526-SM-26GMA,0.058
GTEX-N7MS-2526-SM-26GMR,-9.9658
GTEX-NPJ7-0011-R6a-SM-2I3G7,2.7951
GTEX-132Q8-3026-SM-5PNVG,0.5955
GTEX-NPJ7-2726-SM-2I3FT,0.6145
GTEX-13OVJ-0011-R9b-SM-5L3GD,1.3397
GTEX-XLM4-0011-R10A-SM-4AT5P,2.578
GTEX-12ZZZ-0011-R10a-SM-5P9HC,0.058
GTEX-X4XY-0011-R8A-SM-46MVC,-1.9942
GTEX-13QJC-0011-R6a-SM-5S2VI,3.6838
GTEX-ZUA1-0011-R8b-SM-51MST,-0.3383
GTEX-13FHP-0011-R7b-SM-5LZYI,0.5955
GTEX-11EMC-3326-SM-5P9JH,-0.0725
GTEX-13112-0011-R7b-SM-5DUVW,2.1047
GTEX-12WSA-0011-R5b-SM-5GU5I,1.595
GTEX-ZF28-3026-SM-4WKHP,2.6487
GTEX-ZUA1-0011-R7b-SM-4YCDP,1.8201
GTEX-11ZVC-0011-R9a-SM-57WC5,1.6604
GTEX-WZTO-0011-R4A-SM-3NMC7,2.5288
GTEX-NPJ7-0011-R11A-SM-2I3E8,1.5165
GTEX-13OVL-0011-R6a-SM-5L3G4,3.4843
GTEX-13NYB-0011-R1b-SM-5KM4F,0.3685
GTEX-WHSE-0011-R8A-SM-3P5Z1,0.537
GTEX-T6MN-0011-R4A-SM-32QPG,0.9716
GTEX-ZDXO-0011-R1a-SM-4WKF4,1.787
GTEX-11DXY-3226-SM-5GIDE,-0.1345
GTEX-ZV68-0011-R5a-SM-4YCDW,0.8408
GTEX-11GSP-0011-R6b-SM-57WBQ,-0.0877
GTEX-13OVL-0011-R3b-SM-5L3I8,2.1798
GTEX-13OW7-0011-R5b-SM-5O9DM,1.9377
GTEX-11WQK-3126-SM-5EGI2,0.9789
GTEX-ZE9C-0011-R11a-SM-4WKGG,0.6425
GTEX-ZZPT-2926-SM-5EQ5S,-0.9971
GTEX-12ZZY-3026-SM-5GCOU,3.4237
GTEX-WHSE-2926-SM-3NMBG,0.7493
GTEX-12ZZW-2926-SM-5LZUP,0.03
GTEX-12WSD-0011-R9a-SM-5GU6W,0.8082
GTEX-YFC4-0011-R11a-SM-4SOK6,-1.0262
GTEX-X261-0011-R5A-SM-3NMB4,3.4713
GTEX-11OC5-0626-SM-5HL6M,-0.5973
GTEX-ZVZQ-0011-R7b-SM-57WBB,0.4761
GTEX-12ZZX-0011-R8a-SM-5DUW8,1.5366
GTEX-13PDP-0011-R1a-SM-5PNX5,0.1519
GTEX-11TTK-2926-SM-5PNYP,-0.2328
GTEX-N7MS-0011-R3a-SM-5SI8H,0.2522
GTEX-T6MN-2626-SM-32PMQ,1.736
GTEX-12WS9-0011-R5b-SM-5P9EV,1.9226
GTEX-NL4W-0011-R9a-SM-2I3G1,0.7058
GTEX-13X6J-3026-SM-5Q5CU,0.24
GTEX-145LS-0011-R10a-SM-5PNUQ,0.6608
GTEX-13OVL-0011-R10a-SM-5L3GS,2.3019
GTEX-14BIL-0011-R10a-SM-5SI75,1.5415
GTEX-13FLV-0011-R10b-SM-5LZZ2,0.8327
GTEX-13FLW-0011-R6b-SM-5L3EN,2.9281
GTEX-NL4W-0011-R10A-SM-2I3DY,-0.5125
GTEX-S7SE-0011-R7A-SM-2XCDI,2.5036
GTEX-139UC-0011-R7a-SM-5IJCV,2.081
GTEX-RNOR-0011-R4A-SM-3GAD3,-0.4131
GTEX-13FHO-2926-SM-5L3ES,0.7321
GTEX-ZE7O-0011-R1a-SM-57WDM,0.24
GTEX-11ZUS-2826-SM-5EQKW,1.7702
GTEX-WVLH-0011-R11A-SM-3MJFO,-0.394
GTEX-13IVO-0011-R5a-SM-5L3CY,-0.3752
GTEX-11WQC-0011-R5a-SM-5BC74,0.7579
GTEX-R55F-1326-SM-5S2V4,1.2209
GTEX-T6MN-0011-R7A-SM-5CHSP,-9.9658
GTEX-RNOR-0011-R3A-SM-5SI8E,-0.2159
GTEX-13QIC-0011-R10a-SM-5O9C7,0.7058
GTEX-13QJC-0011-R7b-SM-5PNUM,2.5804
GTEX-12WSD-3126-SM-5HL7P,-0.9132
GTEX-13OVL-0011-R4b-SM-5L3HV,2.167
GTEX-13X6I-0011-R2b-SM-5PNWQ,0.0718
GTEX-1313W-0011-R8a-SM-5DUVM,1.1706
GTEX-12ZZX-0011-R2a-SM-5EGLG,0.9935
GTEX-X261-0011-R11A-SM-4E3JY,4.1417
GTEX-13X6J-0011-R8b-SM-5PNUA,0.058
GTEX-ZF28-0011-R11a-SM-4WWEI,2.8542
GTEX-ZF28-2926-SM-4WKG1,3.3221
GTEX-13OVJ-0011-R3b-SM-5P9H6,0.6239
GTEX-XOTO-0011-R11B-SM-4B64O,-0.3566
GTEX-ZVZQ-0011-R9a-SM-51MRH,0.7748
GTEX-X261-0011-R7A-SM-4E3JJ,2.9319
GTEX-ZYY3-3026-SM-5GIEJ,0.9115
GTEX-12WSM-0011-R1a-SM-5LZW6,-0.0277
GTEX-13IVO-0011-R3b-SM-5IJBJ,-0.8084
GTEX-13CZV-0011-R10b-SM-5LZYD,0.7579
GTEX-145MI-0011-R7b-SM-5Q5AZ,-1.8836
GTEX-13OW7-0011-R3a-SM-5O9DA,-0.013
GTEX-QVJO-0011-R7A-SM-2S1QO,3.2826
GTEX-RNOR-0011-R1A-SM-5SI8F,-0.6873
GTEX-13JVG-0011-R11a-SM-5KM53,-0.1031
GTEX-11WQC-0011-R6a-SM-5BC77,1.6093
GTEX-13JUV-0011-R9a-SM-5LZX3,1.3397
GTEX-WL46-0011-R7A-SM-3LK7X,1.1447
GTEX-13FTZ-0011-R10b-SM-5KLZS,-1.0559
GTEX-145MH-0011-R10b-SM-5PNUK,0.2154
GTEX-12WSF-0011-R6b-SM-5HL8W,2.3251
GTEX-13FXS-0011-R2b-SM-5K7XX,0.7321
GTEX-RNOR-0011-R5A-SM-2TF4J,0.5955
GTEX-TSE9-0011-R9A-SM-3DB7Q,0.2522
GTEX-RVPU-0011-R11A-SM-2XCAF,-1.7809
GTEX-X4EP-0011-R6A-SM-3P629,3.1409
GTEX-Y8DK-0011-R3A-SM-4RTW5,-0.0725
GTEX-13IVO-2926-SM-5L3CZ,-0.013
GTEX-ZVT3-0011-R11b-SM-57WBI,1.105
GTEX-13OVL-3026-SM-5IJF1,3.644
GTEX-1445S-0011-R5a-SM-5PNUS,-0.0725
