sample,ZP3_log2_TPM
TCGA-19-1787-01,1.5758
TCGA-06-5412-01,1.9822
TCGA-16-0846-01,0.7233
TCGA-12-5299-01,3.0825
TCGA-06-2561-01,0.9191
TCGA-14-0736-02,4.1044
TCGA-06-0132-01,2.0076
TCGA-26-5136-01,1.8484
TCGA-27-2521-01,2.1925
TCGA-19-2629-01,1.5514
TCGA-06-0238-01,1.7229
TCGA-06-0749-01,3.4156
TCGA-06-0174-01,0.8164
TCGA-06-5414-01,4.7121
TCGA-28-5207-01,2.9167
TCGA-06-5410-01,1.6558
TCGA-06-0747-01,5.0401
TCGA-28-2513-01,2.5511
TCGA-76-4927-01,0.8327
TCGA-06-0645-01,-0.1828
TCGA-06-2565-01,0.5069
TCGA-06-0130-01,4.182
TCGA-06-0750-01,3.5387
TCGA-27-1831-01,3.7335
TCGA-06-5416-01,4.174
TCGA-06-0141-01,3.2049
TCGA-06-0125-01,0.9642
TCGA-76-4925-01,2.6647
TCGA-76-4932-01,0.7999
TCGA-28-2510-01,-0.394
TCGA-06-0743-01,2.8916
TCGA-14-1034-01,2.3564
TCGA-06-0184-01,4.2951
TCGA-12-3652-01,1.3225
TCGA-26-5132-01,3.928
TCGA-32-1970-01,3.7888
TCGA-06-0219-01,2.0673
TCGA-14-0787-01,4.7777
TCGA-06-0190-01,2.2113
TCGA-06-0190-02,2.0535
TCGA-26-5135-01,3.7378
TCGA-76-4931-01,1.6374
TCGA-41-3915-01,2.1247
TCGA-06-0649-01,4.3541
TCGA-12-0618-01,5.9343
TCGA-27-2524-01,1.4652
TCGA-28-1753-01,1.5266
TCGA-12-5295-01,4.9782
TCGA-27-2523-01,3.0287
TCGA-06-2569-01,-1.1172
TCGA-27-1830-01,2.3479
TCGA-06-2559-01,0.547
TCGA-27-2526-01,2.5804
TCGA-06-5856-01,2.3451
TCGA-26-1442-01,-1.4699
TCGA-06-5418-01,2.0254
TCGA-26-5139-01,3.3235
TCGA-06-5417-01,1.4228
TCGA-26-5134-01,2.4359
TCGA-06-5413-01,5.5558
TCGA-76-4929-01,4.7939
TCGA-06-0646-01,2.1702
TCGA-12-3650-01,0.7058
TCGA-19-2620-01,1.6604
TCGA-28-5213-01,0.7407
TCGA-06-0138-01,1.5366
TCGA-14-1034-02,1.3511
TCGA-06-5415-01,0.2277
TCGA-06-0139-01,1.105
TCGA-02-0047-01,-0.1187
TCGA-14-0789-01,2.3077
TCGA-12-0616-01,2.3048
TCGA-32-1982-01,0.7664
TCGA-28-5220-01,2.4144
TCGA-14-0817-01,4.6468
TCGA-12-1597-01,4.7421
TCGA-06-2570-01,1.934
TCGA-06-0211-02,3.7094
TCGA-06-0211-01,4.22192948419
TCGA-02-2483-01,2.2603
TCGA-06-0156-01,3.30467603165
TCGA-06-0152-02,-1.0262
TCGA-27-1837-01,2.6783
TCGA-28-5204-01,0.6517
TCGA-32-5222-01,0.2881
TCGA-28-5209-01,3.1733
TCGA-27-2519-01,3.0944
TCGA-14-0790-01,5.8951
TCGA-12-0821-01,2.5112
TCGA-19-2619-01,0.4552
TCGA-27-1835-01,0.6145
TCGA-12-0619-01,5.2312
TCGA-06-0168-01,5.5488
TCGA-27-2528-01,0.5763
TCGA-19-1389-02,3.3661
TCGA-28-5215-01,1.934
TCGA-28-5218-01,3.6301
TCGA-14-1825-01,0.7058
TCGA-06-0129-01,1.2875
TCGA-19-4065-02,0.9493
TCGA-06-5859-01,1.3791
TCGA-28-1747-01,1.2875
TCGA-28-2499-01,5.4276
