sample,ZP3_log2_TPM
TCGA-S9-A7J2-01,0.3907
TCGA-E1-A7YI-01,4.3723
TCGA-DU-7302-01,-1.5522
TCGA-DU-A7TI-01,-0.6193
TCGA-P5-A5EX-01,-0.0425
TCGA-HT-8563-01,3.5149
TCGA-DU-7012-01,3.1908
TCGA-E1-5322-01,3.5982
TCGA-HT-8558-01,3.4197
TCGA-S9-A6U8-01,-0.5543
TCGA-CS-5393-01,4.2721
TCGA-HT-7854-01,2.2482
TCGA-HT-7874-01,-0.7834
TCGA-RY-A845-01,0.5666
TCGA-HT-7616-01,0.2998
TCGA-KT-A7W1-01,4.1294
TCGA-P5-A5F2-01,1.4228
TCGA-CS-5396-01,3.1095
TCGA-HT-7680-01,0.2154
TCGA-S9-A7IS-01,-0.1504
TCGA-HW-7486-01,3.309
TCGA-P5-A5F1-01,1.3791
TCGA-DU-7011-01,0.1124
TCGA-P5-A77X-01,2.8301
TCGA-VM-A8CA-01,1.9675
TCGA-DU-7015-01,1.692
TCGA-TM-A7C5-01,0.7832
TCGA-DU-8162-01,2.5011
TCGA-TM-A84O-01,3.2435
TCGA-FG-A60K-01,2.0325
TCGA-S9-A7R3-01,3.6703
TCGA-TQ-A7RN-01,3.6335
TCGA-DU-A6S6-01,-0.6873
TCGA-S9-A7R2-01,4.3688
TCGA-P5-A735-01,3.4156
TCGA-HT-7691-01,1.0363
TCGA-FG-A6J1-01,5.1425
TCGA-DU-6402-01,1.8242
TCGA-HT-8104-01,3.6266
TCGA-FN-7833-01,0.7999
TCGA-HT-7473-01,0.7748
TCGA-HT-8019-01,3.506
TCGA-DB-A4XF-01,2.9655
TCGA-HT-A5RA-01,1.8078
TCGA-E1-A7YL-01,2.1798
TCGA-HT-A61B-01,2.7889
TCGA-TM-A7CA-01,2.7951
TCGA-HT-7684-01,4.834
TCGA-HW-8322-01,3.4726
TCGA-S9-A6U9-01,4.3082
TCGA-HT-7676-01,3.2572
TCGA-HT-7469-01,4.2404
TCGA-DH-A7UU-01,1.0847
TCGA-HT-7873-01,1.9073
TCGA-HW-A5KK-01,4.2343
TCGA-DB-A64P-01,3.716
TCGA-HT-7478-01,4.0136
TCGA-S9-A6TX-01,1.4065
TCGA-RY-A83Z-01,4.8435
TCGA-FG-6688-01,4.2243
TCGA-DH-A669-02,4.9412
TCGA-FG-A4MT-01,0.4125
TCGA-FG-A6IZ-01,6.2165
TCGA-HT-8113-01,2.4649
TCGA-DH-A7UT-01,4.4189
TCGA-EZ-7264-01,-1.5105
TCGA-TQ-A7RF-01,1.8242
TCGA-DB-5274-01,2.6232
TCGA-S9-A7R8-01,4.0696
TCGA-FG-7641-01,3.1409
TCGA-HW-7495-01,4.3944
TCGA-CS-6669-01,2.2268
TCGA-HT-7481-01,3.2856
TCGA-DU-8163-01,-0.5125
TCGA-S9-A6WD-01,1.3051
TCGA-CS-4942-01,2.1541
TCGA-HT-8110-01,2.5263
TCGA-HT-8106-01,1.0222
TCGA-QH-A6CW-01,3.5136
TCGA-RY-A840-01,-0.2328
TCGA-HW-8319-01,2.8838
TCGA-HT-7482-01,4.1335
TCGA-DU-5870-02,0.5859
TCGA-DU-5870-01,-0.7588
TCGA-E1-5304-01,4.7225
TCGA-TM-A84S-01,4.4958
TCGA-CS-4943-01,3.2647
TCGA-E1-A7Z3-01,0.5859
TCGA-FG-8182-01,0.1776
TCGA-DU-A5TW-01,0.517
TCGA-TQ-A7RP-01,3.6782
TCGA-HT-7689-01,0.4967
TCGA-FG-7638-01,-1.1811
TCGA-P5-A5EV-01,1.9073
TCGA-HT-7476-01,0.4447
TCGA-TQ-A7RG-01,3.2737
TCGA-TM-A84F-01,3.5596
TCGA-FG-8181-01,0.9419
TCGA-DU-A7T6-01,4.2631
TCGA-DB-A4XC-01,1.9712
TCGA-S9-A6U2-01,4.3002
TCGA-DB-A75M-01,3.4596
TCGA-HT-8012-01,3.2811
TCGA-S9-A7QW-01,3.3379
TCGA-P5-A733-01,-2.6349
TCGA-E1-A7Z4-01,3.9194
TCGA-FG-8185-01,1.0847
TCGA-FG-A4MW-01,3.5875
TCGA-HW-8320-01,2.791
TCGA-DU-5849-01,4.2728
TCGA-DB-5273-01,4.1612
TCGA-R8-A6MO-01,4.1571
TCGA-CS-6670-01,3.3506
TCGA-DU-5854-01,2.7657
TCGA-S9-A6WL-01,2.6441
TCGA-S9-A6TV-01,0.9716
TCGA-S9-A6WE-01,4.8161
TCGA-QH-A6XA-01,4.4033
TCGA-DU-6393-01,2.0076
TCGA-VM-A8C9-01,4.6972
TCGA-DU-6397-02,3.492
TCGA-DU-5853-01,4.5318
TCGA-FG-5962-01,3.3379
TCGA-QH-A65S-01,3.4129
TCGA-F6-A8O4-01,-0.2671
TCGA-QH-A870-01,4.7016
TCGA-S9-A7R1-01,1.3956
TCGA-TQ-A7RH-01,4.2669
TCGA-E1-A7YQ-01,3.8461
TCGA-HT-8107-01,3.5827
TCGA-P5-A5ET-01,0.7999
TCGA-P5-A72W-01,4.1939
TCGA-DB-A64L-01,3.7389
TCGA-HW-7493-01,2.909
TCGA-TM-A84R-01,0.099
TCGA-HT-A74L-01,3.162
TCGA-HT-7477-01,1.0433
TCGA-FG-A87Q-01,0.9419
TCGA-FG-A70Z-01,5.1061
TCGA-FG-A4MU-01,3.2174
TCGA-DB-A4XB-01,0.4552
TCGA-WY-A85D-01,4.0322
TCGA-DU-A5TR-01,4.0136
TCGA-CS-4941-01,3.5584
TCGA-HT-A615-01,4.7656
