,ZP3_GBM,ZP3_LGG,ZP3_TPM,Project,ZP3_TPM_log2
TCGA-02-0047-01,29.1957,,29.1957,GBM,4.867733410476275
TCGA-02-0055-01,94.7106,,94.7106,GBM,6.5654692284753144
TCGA-02-2483-01,151.6918,,151.6918,GBM,7.245008800403797
TCGA-02-2485-01,105.2381,,105.2381,GBM,6.717527005581503
TCGA-02-2486-01,95.7317,,95.7317,GBM,6.580939893891257
TCGA-06-0125-01,44.673,,44.673,GBM,5.481363530674829
TCGA-06-0125-02,55.0637,,55.0637,GBM,5.78305585006793
TCGA-06-0129-01,28.0193,,28.0193,GBM,4.808400496987119
TCGA-06-0130-01,209.2212,,209.2212,GBM,7.708892129938234
TCGA-06-0132-01,108.8299,,108.8299,GBM,6.765944424189637
TCGA-06-0138-01,94.6786,,94.6786,GBM,6.564981705910932
TCGA-06-0141-01,265.3645,,265.3645,GBM,8.051837008808953
TCGA-06-0152-02,29.2828,,29.2828,GBM,4.872030871372694
TCGA-06-0156-01,208.44,,208.44,GBM,7.703495271032665
TCGA-06-0157-01,56.2127,,56.2127,GBM,5.81284987147915
TCGA-06-0158-01,56.369,,56.369,GBM,5.816855662366487
TCGA-06-0168-01,571.1009,,571.1009,GBM,9.157604374081851
TCGA-06-0171-02,152.4765,,152.4765,GBM,7.252452560100787
TCGA-06-0174-01,52.8946,,52.8946,GBM,5.725075814916859
TCGA-06-0178-01,283.5134,,283.5134,GBM,8.147278202829327
TCGA-06-0184-01,229.2349,,229.2349,GBM,7.840689188041429
TCGA-06-0187-01,37.786,,37.786,GBM,5.239818079033619
TCGA-06-0190-01,98.7457,,98.7457,GBM,6.625660630677774
TCGA-06-0190-02,82.7723,,82.7723,GBM,6.371093570708913
TCGA-06-0210-01,155.6922,,155.6922,GBM,7.282562124939838
TCGA-06-0210-02,133.0743,,133.0743,GBM,7.056099008399757
TCGA-06-0211-01,152.9736,,152.9736,GBM,7.257148316574322
TCGA-06-0211-02,137.6147,,137.6147,GBM,7.104501260251168
TCGA-06-0219-01,152.6668,,152.6668,GBM,7.25425199729922
TCGA-06-0221-02,15.0376,,15.0376,GBM,3.9105983622308065
TCGA-06-0238-01,109.5444,,109.5444,GBM,6.775385094125471
TCGA-06-0644-01,237.2664,,237.2664,GBM,7.8903700809124855
TCGA-06-0645-01,52.0387,,52.0387,GBM,5.701540740076049
TCGA-06-0646-01,129.5863,,129.5863,GBM,7.017780525861379
TCGA-06-0649-01,420.787,,420.787,GBM,8.71694975232475
TCGA-06-0686-01,128.8346,,128.8346,GBM,7.0093874854546065
TCGA-06-0743-01,141.4944,,141.4944,GBM,7.144611341736043
TCGA-06-0744-01,124.7615,,124.7615,GBM,6.96304055671666
TCGA-06-0745-01,341.4213,,341.4213,GBM,8.41541348085487
TCGA-06-0747-01,233.2388,,233.2388,GBM,7.865670180557311
TCGA-06-0749-01,356.2799,,356.2799,GBM,8.476871333324848
TCGA-06-0750-01,233.5725,,233.5725,GBM,7.867732792814283
TCGA-06-0878-01,127.1907,,127.1907,GBM,6.990860719205723
TCGA-06-0882-01,100.9926,,100.9926,GBM,6.65812006155563
