num,line,doi,pmid,year_ms,status,cr_title,cr_year,cr_journal,pmid_doi,note
1,"Zhou H.; Deng X.. Intron Retention, an Orchestrated Program of Gene Expression R",10.1002/bies.202400248,39950398,2025,VERIFIED,"Intron Retention, an Orchestrated Program of Gene Expression Regulation",2025,BioEssays,10.1002/bies.202400248,DOI + PMID 双向一致
2,Merino G.; Conesa A.; Fernández E.. A benchmarking of workflows for detecting di,10.1093/bib/bbx122,29040385,2019,VERIFIED,A benchmarking of workflows for detecting differential splicing and differential expressio,2019,Briefings in Bioinformatics,10.1093/bib/bbx122,DOI + PMID 双向一致
3,"Nishio S, Emori C, Wiseman B, Fahrenkamp D, Dioguardi E, Zamora-Caballero S, et ",10.1016/j.cell.2024.02.013,38490181,2024,VERIFIED,ZP2 cleavage blocks polyspermy by modulating the architecture of the egg coat,2024,Cell,10.1016/j.cell.2024.02.013,DOI + PMID 双向一致
4,"Bezborodkina N, Smutin D, Adonin L. Co-Option and Conflict: The Deep Evolutionar",10.3390/ijms27135866,42450137,2026,VERIFIED,Co-Option and Conflict: The Deep Evolutionary History of ZP-Domain Proteins from ECMs to S,2026,International Journal of Molecular Sciences,10.3390/ijms27135866,DOI + PMID 双向一致
5,"Khan R, Azhar M, Umair M. Decoding the Genes Orchestrating Egg and Sperm Fusion ",10.3390/biomedicines12122850,39767756,2024,VERIFIED,Decoding the Genes Orchestrating Egg and Sperm Fusion Reactions and Their Roles in Fertili,2024,Biomedicines,10.3390/biomedicines12122850,DOI + PMID 双向一致
6,"Pulawska-Moon K, Ponikwicka-Tyszko D, Lebiedzinska W, et al. Novel ectopic expre",10.1002/ijc.35098,39039845,2024,VERIFIED,Novel ectopic expression of zona pellucida 3 glycoprotein in lung cancer promotes tumor gr,2024,International Journal of Cancer,10.1002/ijc.35098,DOI + PMID 双向一致
7,"Schultz IJ, Zimmerman Y, Moelans CB, et al. A tumor cell specific Zona Pellucida",10.3389/fonc.2023.1233039,38125942,2023,VERIFIED,A tumor cell specific Zona Pellucida glycoprotein 3 RNA transcript encodes an intracellula,2023,Frontiers in Oncology,10.3389/fonc.2023.1233039,DOI + PMID 双向一致
8,"Bleil JD, Wassarman PM. Structure and function of the zona pellucida: identifica",10.1016/0012-1606(80)90371-1,7380091,1980,VERIFIED,Structure and function of the zona pellucida: Identification and characterization of the p,1980,Developmental Biology,10.1016/0012-1606(80)90371-1,DOI + PMID 双向一致
9,"Pulawska K, Ponikwicka-Tyszko D, Lebiedzinska W, Guo P, Bernaczyk P, Pilaszewicz",10.1016/j.mce.2021.111502,34736966,2022,VERIFIED,Novel expression of zona pellucida 3 protein in normal testis; potential functional implic,2022,Molecular and Cellular Endocrinology,10.1016/j.mce.2021.111502,DOI + PMID 双向一致
10,"Costa J, Pereira R, Oliveira J, Alves Â, Marques-Magalhães Â, Frutuoso A, et al.",10.1016/j.tice.2018.11.001,30503065,2018,VERIFIED,Structural and molecular analysis of the cancer prostate cell line PC3: Oocyte zona pelluc,2018,Tissue and Cell,10.1016/j.tice.2018.11.001,DOI + PMID 双向一致
