Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,MSigDB_Hallmark_2020__TNF-alpha Signaling via NF-kB,0.4455554,2.45387,0.0,0.0,0.0,63/168,17.45%,GADD45B;NFKBIA;RHOB;CDKN1A;NR4A1;PER1;DUSP1;CXCL2;FOS;JUNB;SGK1;ZFP36;KLF4;SPSB1;DRAM1;CXCL3;BTG2;ZC3H12A;TSC22D1;IER2;SPHK1;KLF2;CCL4;BCL2A1;CEBPB;ATF3;PTPRE;EGR2;NR4A2;LDLR;IER3;MAFF;JUN;MAP3K8;BMP2;HBEGF;EGR3;IL1B;TIPARP;MARCKS;EGR1;SOCS3;MYC;TNIP2;FOSB;DUSP2;GPR183;B4GALT1;FOSL2;GFPT2;CCN1;PHLDA1;EIF1;TRAF1;SLC2A3;IFIT2;KLF9;DENND5A;NFKB2;FOSL1;MCL1;NFIL3;CEBPD
prerank,MSigDB_Hallmark_2020__E2F Targets,-0.5005022,-2.116223,0.0,0.0,0.0,105/192,30.44%,DCLRE1B;CSE1L;RPA1;GSPT1;PPP1R8;RPA2;DONSON;USP1;PMS2;NUP107;MSH2;TIPIN;NUP153;CNOT9;MCM3;PRKDC;RFC1;ANP32E;SHMT1;PRIM2;RAD1;BARD1;CDKN2C;CBX5;STAG1;XPO1;MRE11;H2AX;TUBB;CDKN2A;SNRPB;ATAD2;SYNCRIP;ILF3;MCM2;UBR7;UBE2S;TUBG1;CCNE1;DNMT1;SMC1A;SMC4;POLD3;PDS5B;RPA3;WEE1;LIG1;NCAPD2;POLD1;DEK;AK2;KIF2C;PLK4;NUDT21;CTPS1;UNG;MCM4;TRIP13;EIF2S1;GINS1;POLA2;RAN;CDCA8;CHEK1;RAD21;DSCC1;KIF4A;DCTPP1;ING3;CTCF;PCNA;STMN1;PRPS1;TRA2B;CKS1B;RAD50;IPO7;POLD2;CDK4;ZW10;NBN;MAD2L1;SUV39H1;HMGA1;SSRP1;UBE2T;LMNB1;ORC2;MMS22L;BRCA1;RACGAP1;SMC6;RFC3;POLE4;DCK;NASP;HUS1;AURKA;SLBP;RNASEH2A;PPM1D;SRSF1;RAD51AP1;PLK1;PA2G4
prerank,MSigDB_Hallmark_2020__G2-M Checkpoint,-0.4929888,-2.100799,0.0,0.0,0.0,139/188,41.72%,GSPT1;RAD23B;LIG3;RPA2;CDC7;NOTCH2;CDC27;MAPK14;G3BP1;HIF1A;MCM3;MTF2;STIL;FOXN3;PRIM2;DR1;BARD1;CDKN2C;CCNT1;SMC2;STAG1;TNPO2;H2AZ2;HMGN2;ORC5;XPO1;H2AX;HNRNPU;INCENP;CUL4A;SYNCRIP;ILF3;MCM2;KPNB1;UBE2S;SS18;H2BC12;TOP1;SMC1A;SMC4;PDS5B;WRN;FANCC;KIF2C;CCNF;CUL3;RBL1;NCL;PLK4;KMT5A;NUP50;DKC1;DMD;SRSF10;CUL1;ODC1;TENT4A;CDC6;E2F3;POLA2;TPX2;NUP98;CHEK1;RAD21;KIF4A;UPF1;SMARCC1;SFPQ;DBF4;TRAIP;CTCF;STMN1;TRA2B;CKS1B;BUB1;CENPA;CDK4;MAD2L1;SUV39H1;HMGA1;FBXO5;LMNB1;MEIS1;CENPF;ODF2;RACGAP1;TTK;CUL5;TLE3;NASP;HUS1;AURKA;NEK2;KIF23;SRSF1;PLK1;ABL1;RAD54L;CHMP1A;LBR;PRC1;CASP8AP2;NUSAP1;NOLC1;HSPA8;TMPO;ORC6;MCM5;PBK;CCNA2;KPNA2;CHAF1A;CCNB2;CDC20;NDC80;PAFAH1B1;SMAD3;UBE2C;KIF5B;MCM6;KIF20B;HIRA;ATF5;E2F1;CDK1;MAP3K20;NSD2;DDX39A;KIF22;KIF11;PRMT5;BIRC5;H2AZ1;KATNA1;GINS2;RBM14;AURKB;CDC25A;DTYMK
prerank,MSigDB_Hallmark_2020__Myc Targets V1,-0.4888157,-2.095423,0.0,0.0,0.0,135/199,38.49%,UBA2;TRIM28;RUVBL2;PRPF31;GSPT1;RPL18;RAD23B;POLE3;USP1;HNRNPR;PSMD8;SNRPD2;PSMB2;RPS5;FBL;GOT2;NCBP1;SRM;IARS1;G3BP1;TARDBP;YWHAQ;CSTF2;PSMC4;STARD7;SERBP1;EIF1AX;GLO1;CCT5;XPO1;EIF3B;HNRNPU;RPL22;RRM1;SET;RNPS1;UBE2E1;SYNCRIP;EIF3J;HDGF;MCM2;KPNB1;ABCE1;DDX18;CNBP;EIF4E;DEK;LDHA;SF3B3;CDK2;CANX;VBP1;TOMM70;NDUFAB1;RPS2;CTPS1;DHX15;AIMP2;MCM4;TUFM;ILF2;EIF2S1;CUL1;ODC1;PRPS2;MRPS18B;KARS1;SNRPB2;SRPK1;RAN;SNRPA1;EIF4G2;PSMA7;FAM120A;SF3A1;SMARCC1;RPS10;PABPC4;PCNA;TRA2B;LSM2;CBX3;POLD2;CDK4;MAD2L1;COX5A;ACP1;ORC2;LSM7;TCP1;DDX21;EPRS1;ERH;HPRT1;EIF4H;EIF2S2;MRPL9;C1QBP;PPM1G;SRSF1;HNRNPC;PA2G4;SRSF3;CCT2;PRDX3;PWP1;HSPD1;VDAC1;NOLC1;PPIA;XPOT;ETF1;SSB;MCM5;HDAC2;RFC4;CCNA2;CAD;KPNA2;PSMD3;CDC20;YWHAE;PTGES3;SNRPG;DUT;MCM6;TXNL4A;PCBP1;AP3S1;CCT4;SNRPA;HSP90AB1;PGK1;PSMD1;PSMD14
prerank,MSigDB_Hallmark_2020__Protein Secretion,-0.5062329,-1.978744,0.0,0.0,0.0,53/94,27.27%,COPB2;NAPA;TPD52;PAM;GNAS;OCRL;AP2S1;RER1;ANP32E;ATP1A1;ARF1;VAMP7;VPS4B;GALC;CLTC;ADAM10;COPB1;RPS6KA3;TMED2;STX12;SCRN1;AP1G1;SEC22B;TMED10;TOM1L1;PPT1;RAB9A;AP2M1;EGFR;SEC31A;ATP7A;YIPF6;KIF1B;RAB5A;ARFGEF2;SNX2;LMAN1;TSG101;COG2;RAB22A;ERGIC3;RAB14;SNAP23;ABCA1;ARCN1;ZW10;VAMP3;ICA1;USO1;MAPK1;TMX1;GOSR2;SCAMP1
prerank,MSigDB_Hallmark_2020__Inflammatory Response,0.346466,1.859915,0.0,0.004336043,0.003,35/135,14.81%,APLNR;NFKBIA;CDKN1A;SLC31A2;SELL;OSM;BTG2;STAB1;SPHK1;TPBG;SEMA4D;GABBR1;RGS1;CD55;PTPRE;SGMS2;SLC7A2;LDLR;BEST1;CXCL8;HBEGF;IL1B;EBI3;IL1R1;MYC;C5AR1;FPR1;AHR;GPR183;KCNMB2;RGS16;RHOG;FZD5;ADORA2B;IL4R
prerank,MSigDB_Hallmark_2020__PI3K/AKT/mTOR  Signaling,-0.4554846,-1.790386,0.0,0.001529293,0.01,46/94,27.92%,AKT1S1;SMAD2;RPTOR;NCK1;GSK3B;PRKAR2A;PRKAA2;TBK1;ARF1;PIK3R3;UBE2N;CLTC;RPS6KA3;VAV3;TRAF2;AKT1;PLA2G12A;RAF1;AP2M1;RIT1;ATF1;EGFR;ACTR3;EIF4E;NFKBIB;CDK2;PAK4;PLCG1;ACTR2;RIPK1;PRKAG1;TRIB3;RALB;YWHAB;CSNK2B;SLC2A1;MAPKAP1;IRAK4;RAC1;PIN1;CDK4;MAPK1;PIKFYVE;CAB39;NOD1;PTPN11
prerank,MSigDB_Hallmark_2020__Oxidative Phosphorylation,-0.3993399,-1.709754,0.0,0.003950673,0.031,74/199,24.41%,GPI;MFN2;PHYH;DLAT;NNT;ABCB7;SDHB;OXA1L;ACADM;ATP5PB;COX6B1;MDH1;DLST;UQCRFS1;OGDH;OPA1;GOT2;SDHC;UQCRH;NDUFA9;MRPS22;RHOT1;IDH3B;IMMT;CYCS;NDUFS1;NDUFA3;AFG3L2;SDHD;ATP6AP1;ECH1;ECI1;MRPS15;ATP6V1G1;NDUFA7;ETFA;CS;COX10;TIMM50;PDHX;FH;ALAS1;MDH2;ATP5PO;LDHA;MRPL34;MRPS12;IDH3A;BCKDHA;TOMM70;PMPCA;HCCS;NDUFAB1;DLD;ATP5F1A;SUCLA2;COX8A;ISCA1;MRPS11;MRPS30;PDHA1;ISCU;ATP5MC1;NDUFS8;SLC25A5;MRPL35;ETFB;FXN;COX7A2L;NQO2;GPX4;MTRR;COX5A;BAX
prerank,MSigDB_Hallmark_2020__DNA Repair,-0.4041744,-1.672826,0.0,0.004915584,0.044,56/147,24.03%,ERCC2;SF3A3;NELFCD;GTF2H3;ERCC1;RAE1;TAF12;RPA2;ELOA;RFC5;POLR2C;POLA1;ARL6IP1;TAF6;POLR3C;POLR2I;POLR2G;GTF2H1;TMED2;DDB1;CMPK2;ERCC8;ERCC4;POM121;GTF2B;BCAM;POLR2E;POLR1C;RALA;CLP1;POLD3;RPA3;LIG1;POLH;POLR2D;POLD1;PRIM1;AGO4;STX3;SMAD5;BRF2;NUDT21;TAF9;SDCBP;NELFB;NT5C3A;TSG101;POLA2;BOLA2;POLR2K;PCNA;SUPT5H;TAF13;RNMT;SNAPC5;GPX4
prerank,MSigDB_Hallmark_2020__Pperoxisome,-0.4116949,-1.620575,0.003412969,0.008602271,0.084,39/89,26.54%,LONP2;ABCD3;ERCC1;SCP2;GNPAT;PEX14;CRAT;MSH2;PEX11A;VPS4B;NUDT19;EPHX2;HMGCL;EHHADH;PEX13;ECH1;ACOX1;ACOT8;ABCB1;YWHAH;CNBP;SIAH1;HSD11B2;PEX6;ATXN1;CTPS1;BCL10;ECI2;CADM1;IDE;SLC25A19;ABCD1;SMARCC1;PEX11B;RDH11;ACSL5;SLC25A17;PRDX1;IDH2
