Cancer,Transcript,Median_prop,Mean_prop,N
GBM,ENST00000336517.8,0.3331216857673088,0.37086365771633023,153
GBM,ENST00000466960.5,0.49698019962380746,0.46488483879744263,153
GBM,ENST00000394860.3,0.001394665000844798,0.03423420154873659,153
GBM,ENST00000467555.1,0.0002540052448487373,0.015586150677077,153
GBM,ENST00000394857.7,0.000607154476223732,0.05437737921802345,153
GBM,ENST00000416245.5,0.0006816449613590935,0.009097497395848246,153
GBM,ENST00000479793.5,0.0006679863202330114,0.05095627464654184,153
LGG,ENST00000336517.8,0.060014329243382236,0.1667857112757409,509
LGG,ENST00000466960.5,0.8613493156294291,0.6934835758720247,509
LGG,ENST00000394860.3,0.012240205991968988,0.031057001882535247,509
LGG,ENST00000467555.1,0.00017161399680512768,0.015558354059515854,509
LGG,ENST00000394857.7,0.0010235162482994684,0.03416318506026764,509
LGG,ENST00000416245.5,0.0005058132889226083,0.005084802215063385,509
LGG,ENST00000479793.5,0.0003941533048398524,0.053867369634852245,509
CESC,ENST00000336517.8,0.3772305986760167,0.3924607221847633,304
CESC,ENST00000466960.5,0.3061060126774069,0.32838681722078317,304
CESC,ENST00000394860.3,0.02592055679628312,0.031860600209349645,304
CESC,ENST00000467555.1,0.056397627434999265,0.15822274999254743,304
CESC,ENST00000394857.7,0.04097349868617507,0.058043088085554084,304
CESC,ENST00000416245.5,0.004171084816964634,0.006301929368507967,304
CESC,ENST00000479793.5,0.008597047246309846,0.02472409293849437,304
COAD,ENST00000336517.8,0.7538486251122518,0.7009284402453874,288
COAD,ENST00000466960.5,0.10638636474510843,0.17336060178970422,288
COAD,ENST00000394860.3,0.017227624957835447,0.02424649803574039,288
COAD,ENST00000467555.1,7.693932952670497e-05,0.009795740722400323,288
COAD,ENST00000394857.7,0.03913632170881108,0.057930727146611946,288
COAD,ENST00000416245.5,0.006919200602714717,0.008663709287456998,288
COAD,ENST00000479793.5,0.012668074269242977,0.025074282772698762,288
MESO,ENST00000336517.8,0.32139452911277755,0.392218923206037,87
MESO,ENST00000466960.5,0.5500204631437425,0.48942064877270874,87
MESO,ENST00000394860.3,0.029405482295288485,0.03513944492174108,87
MESO,ENST00000467555.1,0.0001003283917749462,0.021291003101184626,87
MESO,ENST00000394857.7,0.015192016621315883,0.03395666614946299,87
MESO,ENST00000416245.5,0.0034963950926652928,0.005524851044104924,87
MESO,ENST00000479793.5,0.010025334705817101,0.022448462804760688,87
LUAD,ENST00000336517.8,0.39248290094151117,0.4141411145758594,513
LUAD,ENST00000466960.5,0.2892087665699903,0.34131482273551617,513
LUAD,ENST00000394860.3,0.02122659919388255,0.03471093704520742,513
LUAD,ENST00000467555.1,0.017461956753723078,0.10373384188966697,513
