,ENST00000336517.8,ENST00000466960.5,ENST00000394860.3,ENST00000467555.1,ENST00000394857.7,ENST00000416245.5,ENST00000479793.5
GTEX-S4Q7-0003-SM-3NM8M,0.5516496422041018,0.4139200946023061,0.000765093768928673,0.000765093768928673,0.000765093768928673,0.03136988811787724,0.000765093768928673
TCGA-19-1787-01,0.6364318401895602,0.0003347746526945428,0.0003347746526945428,0.0003347746526945428,0.21124336299060825,0.010378040774764702,0.14094243208698318
TCGA-S9-A7J2-01,0.16908808411505316,0.19204907224706327,0.17674568505208457,0.0007651058103325382,0.0007651058103325382,0.0007651058103325382,0.45982184115480146
GTEX-QV31-1626-SM-2S1QC,0.003058165333600093,0.003058165333600093,0.003058165333600093,0.9816510079983994,0.003058165333600093,0.003058165333600093,0.003058165333600093
TCGA-G3-A3CH-11,0.2913221305497824,0.47869784165683876,0.22316569932365757,0.0017035821174303512,0.0017035821174303512,0.0017035821174303512,0.0017035821174303512
GTEX-13OVI-1026-SM-5L3EM,0.24967232936803402,0.7481024934385944,0.0004450354386742352,0.0004450354386742352,0.0004450354386742352,0.0004450354386742352,0.0004450354386742352
GTEX-13OW5-0626-SM-5J2N2,0.253485361870695,0.5787348160624509,0.0005162560280992353,0.0005162560280992353,0.1657147979544571,0.0005162560280992353,0.0005162560280992353
GTEX-XUZC-2026-SM-4BRW9,0.0001799540271138203,0.9395331744653442,0.0001799540271138203,0.0001799540271138203,0.04517022807513542,0.014576781351065153,0.0001799540271138203
TCGA-EK-A2RE-01,0.6117628018637519,0.1331241567354878,0.00016619266061981987,0.2544482707582812,0.00016619266061981987,0.00016619266061981987,0.00016619266061981987
TCGA-D5-5538-01,0.96945443088777,7.17006136222765e-05,0.017997558167436305,7.17006136222765e-05,7.17006136222765e-05,0.012261208490304735,7.17006136222765e-05
TCGA-VM-A8C8-01,0.2824031237356946,0.08202616286445001,0.0006261638981295413,0.0006261638981295413,0.0006261638981295413,0.0006261638981295413,0.6330660578073373
GTEX-X88G-0426-SM-47JZ5,0.00013180235751855137,0.9108995009673481,0.038355141559775735,0.00013180235751855137,0.047582134318302195,0.00013180235751855137,0.0027678160820185068
TCGA-ZN-A9VQ-01,0.06867327199747351,0.9123710113560154,0.018763756756240688,4.7989972567544814e-05,4.7989972567544814e-05,4.7989972567544814e-05,4.7989972567544814e-05
TCGA-EE-A17X-06,0.20842863471604642,0.7822086521931616,0.007730221127742245,4.8014357542012244e-05,4.8014357542012244e-05,0.0014884488904235876,4.8014357542012244e-05
GTEX-ZAKK-0326-SM-5EGHA,0.00039417364910921283,0.9187975752494959,0.00039417364910921283,0.00039417364910921283,0.07923155650495763,0.00039417364910921283,0.00039417364910921283
GTEX-1399S-1726-SM-5L3DI,0.718803423284511,0.27402305497266954,0.001434704348563918,0.001434704348563918,0.001434704348563918,0.001434704348563918,0.001434704348563918
GTEX-ZF29-0926-SM-4WKFZ,0.8706359008618123,0.07498477018188023,0.0005724119519649402,0.0005724119519649402,0.0005724119519649402,0.05208968114844772,0.0005724119519649402
TCGA-05-4420-01,0.6279767795151453,0.21590717895692393,0.02256582163581598,0.017371704399823707,0.05950204732246826,0.006983582940618082,0.04969288522920473
GTEX-13W3W-2626-SM-5SIA2,0.00012199505113413154,0.993168386424981,0.00012199505113413154,0.00012199505113413154,0.00012199505113413154,0.00012199505113413154,0.0062216383193485
GTEX-WQUQ-2526-SM-4MVNO,0.2957592161920391,0.4596459807095676,0.0002483211957883333,0.0002483211957883333,0.0002483211957883333,0.0002483211957883333,0.2436015183152397
TCGA-2G-AAFZ-01,0.28222321903906616,0.6324873765040845,0.045949997434349084,0.026951485275207895,0.00914252632612491,0.0032058187830661905,3.957663810109441e-05
GTEX-P44H-0526-SM-2XCF1,0.3467801655948423,0.36200795105773476,0.02322131188796902,0.0003806607099777129,0.0003806607099777129,0.0003806607099777129,0.26684858932952094
TCGA-DX-A3U8-01,0.19584917891194012,0.7300741910303358,0.07039979241050465,0.00010814203157713215,0.00010814203157713215,0.003352411552488078,0.00010814203157713215
TCGA-GL-8500-01,0.16106442853733102,0.8116388407909698,0.027174735657195647,3.0498753625934564e-05,3.0498753625934564e-05,3.0498753625934564e-05,3.0498753625934564e-05
TCGA-E2-A153-11,0.39675564846473826,0.5629671582112108,0.03986931607229336,0.000101969312939413,0.000101969312939413,0.000101969312939413,0.000101969312939413
GTEX-TSE9-0126-SM-3DB83,0.7324130701795755,0.0001506647398193007,0.030284626771157373,0.0001506647398193007,0.0001506647398193007,0.0001506647398193007,0.23669964408999006
GTEX-R55F-0226-SM-48FCI,0.11241955143369567,0.49667184395360064,0.00019022109528706225,0.12383275424927188,0.19422016049026877,0.017310183980607127,0.05535528479726886
TCGA-EJ-7125-01,0.9421701319011863,0.0001773958035632418,0.0001773958035632418,0.0001773958035632418,0.0001773958035632418,0.0001773958035632418,0.05694288908099768
TCGA-IN-7808-01,0.8519441110849844,0.00015486842946603991,0.020287440805657746,0.00015486842946603991,0.1209540259715249,0.0063498168494350235,0.00015486842946603991
TCGA-L5-A4OH-01,0.6341909232866836,9.270387271709234e-05,0.011217454438069914,0.013071686822273535,0.2911812036008877,0.05015332410665115,9.270387271709234e-05
TCGA-RP-A695-06,0.6388266861846968,0.3144050914754337,0.01777996735957479,8.426520076348836e-05,0.022836676026119485,0.005983048552648208,8.426520076348836e-05
TCGA-A4-7828-01,0.23710833668656023,0.7248318691142889,0.00028192876317505665,0.00028192876317505665,0.00028192876317505665,0.00028192876317505665,0.03693207914645044
TARGET-20-PARXMP-09,0.8085138509436439,0.00024055333049967828,0.00024055333049967828,0.00024055333049967828,0.05797378116564451,0.00745717231677321,0.1253335355824391
GTEX-13QJC-0011-R8b-SM-5S2U6,0.029976871874736064,0.9055044613025367,0.06372457489291505,0.00019852298245308118,0.00019852298245308118,0.00019852298245308118,0.00019852298245308118
GTEX-POMQ-0006-SM-5SI7D,0.6286247577828741,0.04697936415703179,0.3154473196774093,0.0022371395956712705,0.0022371395956712705,0.0022371395956712705,0.0022371395956712705
TCGA-B9-A8YH-01,0.3751710296031285,0.5019516582635017,0.050098816525546305,8.622826238052215e-05,0.05354962690373836,0.01905641217932408,8.622826238052215e-05
GTEX-Y9LG-0426-SM-4VBRT,0.17306845485497557,0.5292109045151444,0.000556478933824728,0.000556478933824728,0.25097484807835474,0.000556478933824728,0.045076355750051145
