Cancer,Transcript,Tx_Label,Feature,Rho,P_value,N,FDR
ACC,ENST00000336517.8,FL canonical (9-exon),M2_Macrophage,0.1361,0.23799379164124318,77,0.9974652639965785
ACC,ENST00000336517.8,FL canonical (9-exon),T_cell_exhaustion,0.0204,0.860389577781653,77,0.9974652639965785
ACC,ENST00000336517.8,FL canonical (9-exon),Cytolytic_activity,-0.0686,0.5532141209491037,77,0.9974652639965785
ACC,ENST00000336517.8,FL canonical (9-exon),Treg,0.0119,0.9183044823766355,77,0.9974652639965785
ACC,ENST00000336517.8,FL canonical (9-exon),IFN_gamma,-0.0004,0.9974652639965785,77,0.9974652639965785
ACC,ENST00000336517.8,FL canonical (9-exon),Checkpoint,0.0392,0.7350149462733371,77,0.9974652639965785
ACC,ENST00000336517.8,FL canonical (9-exon),Myeloid,-0.0266,0.8183405830684314,77,0.9974652639965785
ACC,ENST00000466960.5,Retained-intron,M2_Macrophage,-0.1596,0.1656606159637502,77,0.8059344208496274
ACC,ENST00000466960.5,Retained-intron,T_cell_exhaustion,-0.0644,0.5781645162190889,77,0.8059344208496274
ACC,ENST00000466960.5,Retained-intron,Cytolytic_activity,0.096,0.4061888360930489,77,0.8059344208496274
ACC,ENST00000466960.5,Retained-intron,Treg,-0.0599,0.604891038535265,77,0.8059344208496274
ACC,ENST00000466960.5,Retained-intron,IFN_gamma,-0.0023,0.9844304214815287,77,0.9844304214815287
ACC,ENST00000466960.5,Retained-intron,Checkpoint,-0.0658,0.5694812378168292,77,0.8059344208496274
ACC,ENST00000466960.5,Retained-intron,Myeloid,-0.0461,0.6908009321568235,77,0.8059344208496274
ACC,ENST00000394860.3,5-exon truncated,M2_Macrophage,-0.2048,0.07395361343459647,77,0.2742918155980994
ACC,ENST00000394860.3,5-exon truncated,T_cell_exhaustion,-0.1335,0.24708040710895854,77,0.34591256995254194
ACC,ENST00000394860.3,5-exon truncated,Cytolytic_activity,-0.0638,0.5817484501392407,77,0.5817484501392407
ACC,ENST00000394860.3,5-exon truncated,Treg,-0.1798,0.11755363525632832,77,0.2742918155980994
ACC,ENST00000394860.3,5-exon truncated,IFN_gamma,-0.1932,0.09223146928226975,77,0.2742918155980994
