Transcript,Tx_Label,Feature,N,N_cancer,Coef_unadj,P_unadj,CI_unadj_low,CI_unadj_high,Coef_adj,P_adj,CI_adj_low,CI_adj_high,Coef_ZP3_total,P_ZP3_total,FDR_unadj,FDR_adj
ENST00000336517.8,FL canonical,M2_Macrophage,9186,32,0.2822,8.443503108809312e-35,0.2372,0.3271,0.2383,8.142131122087842e-24,0.1919,0.2847,-0.034,1.1651191766847515e-12,1.1820904352333037e-33,1.1398983570922979e-22
ENST00000336517.8,FL canonical,T_cell_exhaustion,9186,32,0.1056,1.4793620267982981e-05,0.0578,0.1534,0.0717,0.004436730355996326,0.0223,0.1212,-0.0262,2.62802095602609e-07,1.7259223645980145e-05,0.005176185415329047
ENST00000336517.8,FL canonical,Cytolytic_activity,9186,32,-0.0159,0.5784622795385916,-0.0721,0.0402,-0.0485,0.10184984837283458,-0.1066,0.0096,-0.0252,2.4993925008432074e-05,0.5784622795385916,0.10968445209382184
ENST00000336517.8,FL canonical,Treg,9186,32,0.1178,1.4543204876756548e-06,0.0699,0.1658,0.0919,0.00028365119418101534,0.0423,0.1415,-0.0201,8.75822058358144e-05,2.0360486827459165e-06,0.0004412351909482461
ENST00000336517.8,FL canonical,IFN_gamma,9186,32,0.1964,2.870336761099073e-13,0.1437,0.2492,0.162,5.933655078045193e-09,0.1074,0.2166,-0.0267,2.070699605035445e-06,7.328077926988314e-13,1.661423421852654e-08
ENST00000336517.8,FL canonical,Checkpoint,9186,32,0.1173,3.907780479037203e-06,0.0675,0.1671,0.0866,0.0009880600997024319,0.0351,0.1381,-0.0238,7.610752934473447e-06,4.973538791501895e-06,0.001351291521246409
ENST00000336517.8,FL canonical,Myeloid,9186,32,0.2167,2.223163272392812e-19,0.1695,0.2639,0.2085,6.114696628368289e-17,0.1596,0.2574,-0.0063,0.20780619612111184,7.781071453374842e-19,2.853525093238535e-16
ENST00000466960.5,Retained-intron,M2_Macrophage,9186,32,-0.2173,1.6416156813857076e-22,-0.2609,-0.1737,-0.1552,9.691661377576329e-11,-0.2022,-0.1082,-0.0343,7.083333948118068e-12,7.660873179799969e-22,3.392081482151715e-10
ENST00000466960.5,Retained-intron,T_cell_exhaustion,9186,32,-0.1258,9.63699830120639e-08,-0.172,-0.0796,-0.0833,0.0010617290524078929,-0.1332,-0.0334,-0.0234,1.0324807094482921e-05,1.4990886246321053e-07,0.001351291521246409
ENST00000466960.5,Retained-intron,Cytolytic_activity,9186,32,-0.0535,0.05365860563581885,-0.1078,0.0008,-0.0144,0.6297850486785417,-0.0731,0.0442,-0.0215,0.000561820242994002,0.057786190684727984,0.6297850486785416
ENST00000466960.5,Retained-intron,Treg,9186,32,-0.1334,1.7560581232887745e-08,-0.1798,-0.087,-0.1029,5.6731291950567775e-05,-0.153,-0.0528,-0.0168,0.0016585087915586168,3.512116246577549e-08,0.00011346258390113556
ENST00000466960.5,Retained-intron,IFN_gamma,9186,32,-0.1899,3.1406048258521345e-13,-0.241,-0.1388,-0.1471,1.7080708721734635e-07,-0.2022,-0.0919,-0.0236,5.726518121772413e-05,7.328077926988314e-13,3.9854987017380813e-07
ENST00000466960.5,Retained-intron,Checkpoint,9186,32,-0.1354,3.617499468240167e-08,-0.1836,-0.0872,-0.0981,0.00021868250235562326,-0.1501,-0.0461,-0.0206,0.0002009320245538552,6.330624069420292e-08,0.0003826943791223407
ENST00000466960.5,Retained-intron,Myeloid,9186,32,-0.2294,6.624419312401607e-23,-0.275,-0.1838,-0.231,4.019767200585531e-20,-0.2803,-0.1818,0.0009,0.8631136418164993,4.637093518681125e-22,2.8138370404098715e-19
