Transcript,Tx_Label,Feature,N,N_cancer,Coef,SE,Z,P,CI_low,CI_high,ICC,FDR
ENST00000336517.8,FL canonical,M2_Macrophage,9186,32,0.2822,0.0229,12.306,8.443503108809312e-35,0.2372,0.3271,0.3567,1.1820904352333037e-33
ENST00000336517.8,FL canonical,T_cell_exhaustion,9186,32,0.1056,0.0244,4.332,1.4793620267982981e-05,0.0578,0.1534,0.4578,1.7259223645980145e-05
ENST00000336517.8,FL canonical,Cytolytic_activity,9186,32,-0.0159,0.0286,-0.556,0.5784622795385916,-0.0721,0.0402,0.4478,0.5784622795385916
ENST00000336517.8,FL canonical,Treg,9186,32,0.1178,0.0245,4.817,1.4543204876756548e-06,0.0699,0.1658,0.5426,2.0360486827459165e-06
ENST00000336517.8,FL canonical,IFN_gamma,9186,32,0.1964,0.0269,7.3,2.870336761099073e-13,0.1437,0.2492,0.4133,7.328077926988314e-13
ENST00000336517.8,FL canonical,Checkpoint,9186,32,0.1173,0.0254,4.616,3.907780479037203e-06,0.0675,0.1671,0.4654,4.973538791501895e-06
ENST00000336517.8,FL canonical,Myeloid,9186,32,0.2167,0.0241,9.002,2.223163272392812e-19,0.1695,0.2639,0.3853,7.781071453374842e-19
ENST00000466960.5,Retained-intron,M2_Macrophage,9186,32,-0.2173,0.0223,-9.762,1.6416156813857076e-22,-0.2609,-0.1737,0.3463,7.660873179799969e-22
ENST00000466960.5,Retained-intron,T_cell_exhaustion,9186,32,-0.1258,0.0236,-5.333,9.63699830120639e-08,-0.172,-0.0796,0.4518,1.4990886246321053e-07
ENST00000466960.5,Retained-intron,Cytolytic_activity,9186,32,-0.0535,0.0277,-1.93,0.05365860563581885,-0.1078,0.0008,0.4461,0.057786190684727984
ENST00000466960.5,Retained-intron,Treg,9186,32,-0.1334,0.0237,-5.634,1.7560581232887745e-08,-0.1798,-0.087,0.5376,3.512116246577549e-08
ENST00000466960.5,Retained-intron,IFN_gamma,9186,32,-0.1899,0.0261,-7.288,3.1406048258521345e-13,-0.241,-0.1388,0.4044,7.328077926988314e-13
ENST00000466960.5,Retained-intron,Checkpoint,9186,32,-0.1354,0.0246,-5.509,3.617499468240167e-08,-0.1836,-0.0872,0.4601,6.330624069420292e-08
ENST00000466960.5,Retained-intron,Myeloid,9186,32,-0.2294,0.0233,-9.853,6.624419312401607e-23,-0.275,-0.1838,0.3754,4.637093518681125e-22
