Cancer,GeneSet,Transcript,Annotation,Rho,P,N,FDR,Significant
GBM,M2,ENST00000336517.8,FL 9-exon (canonical),0.1191581895916261,0.14236237273538033,153,0.3649142636964182,False
GBM,M2,ENST00000466960.5,retained-intron,-0.07401525203382787,0.3632139257234438,153,0.6413910018906401,False
GBM,M2,ENST00000394860.3,5-exon truncated,-0.09022556390977442,0.2673697367337069,153,0.5614764471407845,False
GBM,M2,ENST00000467555.1,alt-3exon,-0.11759679948534435,0.14770339244855024,153,0.3649142636964182,False
GBM,M2,ENST00000394857.7,alt-6exon,-0.03424001179419136,0.6743572155546796,153,0.7940197083774,False
GBM,M2,ENST00000416245.5,alt-2exon,-0.005521825955262487,0.9459913303148628,153,0.9690642895908351,False
GBM,M2,ENST00000479793.5,alt UTR,-0.12845951777840323,0.11353786186816378,153,0.3290611823478377,False
GBM,Treg,ENST00000336517.8,FL 9-exon (canonical),0.27168857973811533,0.0006808570061374849,153,0.007148998564443592,True
GBM,Treg,ENST00000466960.5,retained-intron,-0.21506305871630946,0.0075923262272117095,153,0.03546232691330817,True
GBM,Treg,ENST00000394860.3,5-exon truncated,-0.031241204615817614,0.7014551515158864,153,0.7940197083774,False
GBM,Treg,ENST00000467555.1,alt-3exon,-0.04259646442308981,0.6011095157834472,153,0.7889562394657744,False
GBM,Treg,ENST00000394857.7,alt-6exon,0.03507096618551726,0.6669201187694542,153,0.7940197083774,False
GBM,Treg,ENST00000416245.5,alt-2exon,0.22882406551137197,0.004440672438138951,153,0.026644034628833708,True
GBM,Treg,ENST00000479793.5,alt UTR,-0.05887043812740407,0.46977657455564514,153,0.7155337914196241,False
GBM,Checkpoint,ENST00000336517.8,FL 9-exon (canonical),0.2389798024472947,0.00292983184300276,153,0.02050882290101932,True
GBM,Checkpoint,ENST00000466960.5,retained-intron,-0.209571388363958,0.009324165163817108,153,0.03916149368803186,True
GBM,Checkpoint,ENST00000394860.3,5-exon truncated,-0.07284923538793507,0.3708430390811235,153,0.6413910018906401,False
GBM,Checkpoint,ENST00000467555.1,alt-3exon,-0.09231970300081754,0.2563784192469403,153,0.5614764471407845,False
GBM,Checkpoint,ENST00000394857.7,alt-6exon,0.12707236004449626,0.11752185083851346,153,0.3290611823478377,False
GBM,Checkpoint,ENST00000416245.5,alt-2exon,0.21503960435848982,0.007599070052851749,153,0.03546232691330817,True
GBM,Checkpoint,ENST00000479793.5,alt UTR,-0.07547947408628522,0.3537725330474033,153,0.6413910018906401,False
LGG,M2,ENST00000336517.8,FL 9-exon (canonical),0.3153690268087806,3.2344157262309493e-13,509,1.3584546050169988e-11,True
LGG,M2,ENST00000466960.5,retained-intron,-0.1893683952859643,1.7016977470639875e-05,509,0.00023823768458895825,True
LGG,M2,ENST00000394860.3,5-exon truncated,-0.038847752952642166,0.3817803582682382,509,0.6413910018906401,False
LGG,M2,ENST00000467555.1,alt-3exon,-0.0410955737894372,0.3548255667042095,509,0.6413910018906401,False
LGG,M2,ENST00000394857.7,alt-6exon,0.016021661050602817,0.7183987837700285,509,0.7940197083774,False
LGG,M2,ENST00000416245.5,alt-2exon,0.03046997491198265,0.49277419623924446,509,0.7155337914196241,False
LGG,M2,ENST00000479793.5,alt UTR,0.023903775578266517,0.590546155979887,509,0.7889562394657744,False
LGG,Treg,ENST00000336517.8,FL 9-exon (canonical),0.11079967714078502,0.012373319203408945,509,0.04724358241301597,True
LGG,Treg,ENST00000466960.5,retained-intron,-0.07064083186296502,0.11142952614438084,509,0.3290611823478377,False
LGG,Treg,ENST00000394860.3,5-exon truncated,-0.029192460673145085,0.5110955652997315,509,0.7155337914196241,False
LGG,Treg,ENST00000467555.1,alt-3exon,-0.016616784857284038,0.7084073832723349,509,0.7940197083774,False
LGG,Treg,ENST00000394857.7,alt-6exon,0.029564094560987006,0.505729468882924,509,0.7155337914196241,False
LGG,Treg,ENST00000416245.5,alt-2exon,0.0009705795905293418,0.982572840182556,509,0.982572840182556,False
LGG,Treg,ENST00000479793.5,alt UTR,0.010805864972414102,0.8078511275459077,509,0.8482436839232032,False
LGG,Checkpoint,ENST00000336517.8,FL 9-exon (canonical),0.24623020007625593,1.8185245810801493e-08,509,3.8189016202683135e-07,True
LGG,Checkpoint,ENST00000466960.5,retained-intron,-0.13504341946855627,0.0022639603740681967,509,0.019017267142172854,True
LGG,Checkpoint,ENST00000394860.3,5-exon truncated,-0.03142226400019656,0.4793487894227245,509,0.7155337914196241,False
LGG,Checkpoint,ENST00000467555.1,alt-3exon,-0.08676923300916983,0.050408462629359926,509,0.17642961920275976,False
LGG,Checkpoint,ENST00000394857.7,alt-6exon,-0.02105291415020598,0.6355996364734169,509,0.7940197083774,False
LGG,Checkpoint,ENST00000416245.5,alt-2exon,0.011694273798809936,0.7924001418408639,509,0.8482436839232032,False
LGG,Checkpoint,ENST00000479793.5,alt UTR,-0.05711222997622236,0.1983059742249778,509,0.4627139398582816,False
