Cancer,Transcript,Annotation,N,PSI_median,PSI_mean,PSI_p25,PSI_p75,MWU_p
GBM,ENST00000336517.8,FL 9-exon (canonical),153,0.3331216857673088,0.37086365771633023,0.1038717353027789,0.6150571392794277,
GBM,ENST00000466960.5,retained-intron,153,0.4969801996238074,0.46488483879744263,0.150115609652066,0.7262880015193335,
GBM,ENST00000394860.3,5-exon truncated,153,0.0013946650008447,0.03423420154873655,0.0003157607372997,0.0369986607851775,
GBM,ENST00000467555.1,alt-3exon,153,0.0002540052448487,0.015586150677076962,0.0001171338698526,0.0006071544762237,
GBM,ENST00000394857.7,alt-6exon,153,0.0006071544762237,0.0543773792180234,0.0002284613965185,0.0574477954006537,
GBM,ENST00000416245.5,alt-2exon,153,0.000681644961359,0.009097497395848201,0.0002274263844232,0.0097926405943467,
GBM,ENST00000479793.5,alt UTR,153,0.000667986320233,0.0509562746465418,0.0001961909222731,0.0702770827711402,
LGG,ENST00000336517.8,FL 9-exon (canonical),509,0.0600143292433822,0.16678571127574085,0.01778800519909,0.2236023392269102,
LGG,ENST00000466960.5,retained-intron,509,0.8613493156294291,0.6934835758720247,0.5200481184775924,0.938556182102824,
LGG,ENST00000394860.3,5-exon truncated,509,0.0122402059919689,0.031057001882535205,0.0006071448112909,0.0352001923570854,
LGG,ENST00000467555.1,alt-3exon,509,0.0001716139968051,0.015558354059515823,7.682239067708423e-05,0.000720972709189,
LGG,ENST00000394857.7,alt-6exon,509,0.0010235162482994,0.034163185060267595,0.0001225939848453,0.0212759782863221,
LGG,ENST00000416245.5,alt-2exon,509,0.0005058132889226,0.0050848022150633485,0.000102593532419,0.0025882339501618,
LGG,ENST00000479793.5,alt UTR,509,0.0003941533048398,0.05386736963485222,9.02754034731115e-05,0.0223198408107955,
GBM_vs_LGG,ENST00000336517.8,FL 9-exon (canonical),153,0.2731073565239266,0.20407794644058938,,,3.2267333863571222e-18
GBM_vs_LGG,ENST00000466960.5,retained-intron,153,-0.36436911600562166,-0.22859873707458206,,,3.855660639244786e-15
GBM_vs_LGG,ENST00000394860.3,5-exon truncated,153,-0.0108455409911242,0.0031771996662013427,,,0.17908154737474002
GBM_vs_LGG,ENST00000467555.1,alt-3exon,153,8.239124804359997e-05,2.779661756113945e-05,,,0.18476251898559426
GBM_vs_LGG,ENST00000394857.7,alt-6exon,153,-0.0004163617720757001,0.020214194157755806,,,0.2804084186637038
GBM_vs_LGG,ENST00000416245.5,alt-2exon,153,0.00017583167243640006,0.0040126951807848525,,,0.0003711913050320675
GBM_vs_LGG,ENST00000479793.5,alt UTR,153,0.0002738330153932,-0.0029110949883104156,,,0.008198388183715941
