PMID,DOI,Title,Journal,Year,FirstAuthor,Keywords,Abstract
41639774,10.1080/2162402X.2026.2624244,Enhancing immunogenic cell death by targeting the GPX4-ZP3 immune checkpoint.,Oncoimmunology,2026,"Tang, Daolin",,
41494530,10.1016/j.cell.2025.12.002,Extracellular GPX4 impairs antitumor immunity via dendritic ZP3 receptors.,Cell,2026,"Liu, Jiao","*Dendritic Cells/metabolism/immunology; Animals; *Phospholipid Hydroperoxide Glutathione Peroxidase/metabolism; Humans; Mice; Ferroptosis; Mice, Inbred C57BL; Cell Line, Tumor; *Egg Proteins/metabolism; *Neoplasms/immunology/pathology; Signal Transduction; Female; *Membrane Glycoproteins/metabolism; *Receptors, Cell Surface/metabolism; cancer therapy; cell death; immunogenicity; oxidative stress; zona pellucida family","Understanding the immunogenic properties of different forms of cell death is critical for rationalized antineoplastic therapeutic development. Here, we identify a regulatory axis that suppresses the immunogenicity of ferroptosis. During ferroptosis, but not apoptosis, cuproptosis, or necroptosis, cancer cells release glutathione peroxidase 4 (GPX4), which binds to zona pellucida glycoprotein 3 (ZP3) on the surface of dendritic cells (DCs), activates the 3',5'-cyclic adenosine monophosphate (cAMP"
42153178,10.1007/s40203-026-00638-z,Chinese herbal Formula Q attenuates letrozole-induced polycystic ovary syndrome through modulating multiple metabolic processes in female adult rats.,In silico pharmacology,2026,"Yin, Yihong",Multiple pathways; PCOS; Proteomics; Traditional Chinese Medicine,"Polycystic ovary syndrome (PCOS) is driven by multiple factors, but detailed mechanisms in the setting of PCOS remains unclear. Our study is to comprehensively clarify the potentially molecular mechanisms of effect Formulae Q (Traditional Chinese Medicine) on PCOS. A model of PCOS-liked rats induced by letrozole (1 mg/kg/d) for 21days was performed. Formulae Q (20 g/kg/d) was orally gavaged twice daily to rats as a pretreatment, and metformin (100 mg/kg/d) was orally gavaged daily as a positive "
41664163,10.1186/s12957-026-04245-2,ZP3 promotes hepatocellular carcinoma progression via the Notch signaling pathway and is associated with the tumor microenvironment and immunotherapy response.,World journal of surgical oncology,2026,"Qu, Caihao","Humans; *Liver Neoplasms/pathology/immunology/metabolism/therapy; *Carcinoma, Hepatocellular/pathology/immunology/metabolism/therapy; *Tumor Microenvironment/immunology; Animals; Signal Transduction; Mice; *Zona Pellucida Glycoproteins/metabolism/genetics; Disease Progression; *Receptors, Notch/metabolism; Female; *Immunotherapy/methods; Cell Proliferation; *Biomarkers, Tumor/metabolism/genetics; Cell Movement; Prognosis; Male; Xenograft Model Antitumor Assays; Tumor Cells, Cultured; Gene Expression Regulation, Neoplastic; Hepatocellular carcinoma; Immunotherapy response.; Notch signaling pathway; Tumor microenvironment; Zona pellucida glycoprotein 3","BACKGROUND: Zona pellucida glycoprotein 3 (ZP3) is an important member of the zona pellucida glycoprotein family. However, the underlying mechanisms and immune regulation in hepatocellular carcinoma (HCC) remain unclear. METHODS: The protein expression level of ZP3 in HCC tissues was detected via Western blotting (WB) and immunohistochemistry (IHC). The impact of ZP3 on tumor microenvironment (TME) modulation in HCC was analyzed via the TCGA database, and its potential for immunotherapy response"
41404623,10.1101/2025.11.23.690024,Integrative multi-omic analysis identifies key transcription factors and target proteins in renal cell carcinoma and its subtypes.,bioRxiv : the preprint server for biology,2025,"Chhetri, Surya B",,"To characterize key transcription factors (TFs) whose differential DNA binding can be altered by genetic variants associated with risk for renal cell carcinoma (RCC), we conducted a series of mixed model-based analyses integrating 449 TF ChIP-seq profiles across 9 kidney-related cell lines and summary statistics from a multi-ancestry genome-wide association study of RCC. We identified 96 unique TFs for which presence of SNPs in a neighborhood of TF ChIP-seq peaks are significantly associated (p-"
39791146,10.2174/0109298665350171241204153202,ZP3 Expression in Pancreatic Adenocarcinoma: Its Implications for the Prognosis and Therapy.,Protein and peptide letters,2025,"Lyu, Guizhen","Humans; *Pancreatic Neoplasms/genetics/metabolism/pathology/diagnosis/drug therapy; *Adenocarcinoma/genetics/metabolism/pathology/diagnosis/drug therapy; *Biomarkers, Tumor/genetics/metabolism; Prognosis; *Zona Pellucida Glycoproteins/genetics/metabolism; *Gene Expression Regulation, Neoplastic; Male; Female; Cell Line, Tumor; Middle Aged; Pancreatic adenocarcinoma; TMB/MSI; ZP3; drug sensitivity.; immune infiltration; prognosis","BACKGROUND: The role of Zona pellucida glycoprotein 3 (ZP3) is unclear in pancreatic adenocarcinoma (PAAD). OBJECTIVE: This study aimed to explore the role of ZP3 in PAAD. METHODS: A comparative analysis of ZP3 gene expression was performed to discern differences between various types of cancer and PAAD, leveraging data sourced from The Cancer Genome Atlas (TCGA). This study aimed to assess the role of ZP3 as a potential diagnostic marker for PAAD. The relationship between ZP3 levels and clinica"
39039845,10.1002/ijc.35098,Novel ectopic expression of zona pellucida 3 glycoprotein in lung cancer promotes tumor growth.,International journal of cancer,2024,"Pulawska-Moon, Kamila","Animals; *Lung Neoplasms/pathology/metabolism/genetics; Humans; Mice; *Zona Pellucida Glycoproteins/metabolism/genetics; Female; *Cell Proliferation; *Cell Movement; Cell Line, Tumor; Male; Mice, SCID; Mice, Inbred NOD; Mice, Knockout; Gene Expression Regulation, Neoplastic; cancer growth; lung cancer; zona pellucida 3","Zona pellucida 3 (ZP3) expression is classically found in the ZP-layer of the oocytes, lately shown in ovarian and prostate cancer. A successful ZP3 ovarian cancer immunotherapy in transgenic mice suggested its use as an attractive therapeutic target. The biological role of ZP3 in cancer growth and progression is still unknown. We found that ~88% of the analyzed adenocarcinoma, squamous and small cell lung carcinomas to express ZP3. Knockout of ZP3 in a ZP3-expressing lung adenocarcinoma cell li"
38490181,10.1016/j.cell.2024.02.013,ZP2 cleavage blocks polyspermy by modulating the architecture of the egg coat.,Cell,2024,"Nishio, Shunsuke",Humans; Male; Semen; Spermatozoa/chemistry/metabolism; Zona Pellucida/chemistry/metabolism; *Zona Pellucida Glycoproteins/chemistry/metabolism; Ovum/chemistry/metabolism; Female; ZP protein filament; ZP1; ZP2 cleavage; ZP3; block to polyspermy; egg coat hardening; egg-sperm interaction; fertilization; integrative structural biology; zona pellucida,"Following the fertilization of an egg by a single sperm, the egg coat or zona pellucida (ZP) hardens and polyspermy is irreversibly blocked. These events are associated with the cleavage of the N-terminal region (NTR) of glycoprotein ZP2, a major subunit of ZP filaments. ZP2 processing is thought to inactivate sperm binding to the ZP, but its molecular consequences and connection with ZP hardening are unknown. Biochemical and structural studies show that cleavage of ZP2 triggers its oligomerizat"
38125942,10.3389/fonc.2023.1233039,A tumor cell specific Zona Pellucida glycoprotein 3 RNA transcript encodes an intracellular cancer antigen.,Frontiers in oncology,2023,"Schultz, Iman J",RNA transcript; ZP3; cancer antigen; intracellular; oocyte,"BACKGROUND: Expression of Zona Pellucida glycoprotein 3 (ZP3) in healthy tissue is restricted to the extracellular Zona Pellucida layer surrounding oocytes of ovarian follicles and to specific cells of the spermatogenic lineage. Ectopic expression of ZP3 has been observed in various types of cancer, rendering it a possible therapeutic target. METHODS: To support its validity as therapeutic target, we extended the cancer related data by investigating ZP3 expression using immunohistochemistry (IHC"
37165781,10.1002/adma.202301686,Tuning the Organ Tropism of Polymersome for Spleen-Selective Nanovaccine Delivery to Boost Cancer Immunotherapy.,"Advanced materials (Deerfield Beach, Fla.)",2023,"Gu, Wenxing","Animals; *Spleen/metabolism/drug effects/immunology; Mice; *Polymers/chemistry; *Immunotherapy/methods; *Nanoparticles/chemistry; Cell Line, Tumor; *Drug Carriers/chemistry; Liver/metabolism; Humans; Tissue Distribution; Mice, Inbred C57BL; Female; Nanovaccines; immunotherapy; nanovaccines; organ selectivity; polymersomes; spleen","The past few decades have witnessed explosive development in drug delivery systems. However, in vivo delivery suffers from non-specific distribution in non-targeted organs or tissues, which may cause undesired side effects and even genotoxicity. Here, a general strategy that enables tuning the tropism of polymersomes for liver- and spleen-selective delivery is reported. By using a library screening approach, spleen-targeted polymersome PH9-Aln-8020 and liver-targeted polymersome PA9-ZP3-5050 are"
